date,time,DOY,SWin,SWout,LWin,LWout,Rr,Rn,Ta_1_1_1,RH,Tc_1_1_1,PPFD,PPFDr,SHF_1_1_1,SHF_1_1_2,Ts_1_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,Ts_1_1_1,Ts_1_2_1,Ts_1_3_1,Ts_1_4_1,Ts_2_1_1,Ts_2_2_1,Ts_2_3_1,Ts_2_4_1,SWC_3_1_1,Ts_3_1_1,SWC_3_2_1,Ts_3_2_1,SWC_3_3_1,Ts_3_3_1,SWC_3_4_1,Ts_3_4_1,SWC_3_5_1,Ts_3_5_1,SWC_3_6_1,Ts_3_6_1,SWC_3_7_1,Ts_3_7_1,SWC_3_8_1,Ts_3_8_1,SWC_3_9_1,Ts_3_9_1,SWC_4_1_1,Ts_4_1_1,SWC_4_2_1,Ts_4_2_1,SWC_4_3_1,Ts_4_3_1,SWC_4_4_1,Ts_4_4_1,SWC_4_5_1,Ts_4_5_1,SWC_4_6_1,Ts_4_6_1,SWC_4_7_1,Ts_4_7_1,SWC_4_8_1,Ts_4_8_1,SWC_4_9_1,Ts_4_9_1,P_rain
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[K],[%],[K],[µmol/m^2/s],[µmol/m^2/s],[W/m^2],[W/m^2],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[K],[K],[K],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m]
2022-11-01,00:30,305.0208,0.00000,0.119000,344.900,359.500,-9999,-15.7300,281.826,98.5163,282.230,-0.430000E-01,-0.180000E-01,-8.55000,-7.94100,282.284,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.990000E-01,284.200,0.770000E-01,285.030,0.133000,285.780,0.382000,285.990,0.449000,286.030,0.419000,286.100,0.418000,286.200,0.255000,286.290,0.387000,286.800,0.139000,284.260,0.560000E-01,285.050,0.199000,285.830,0.400000,286.100,0.426000,286.150,0.355000,286.220,0.320000,286.220,0.116000,286.500,0.372000,286.950,0.00000
2022-11-01,01:00,305.0416,0.00000,0.380000,334.300,356.100,-9999,-23.7800,281.267,98.5621,281.560,-0.430000E-01,-0.110000E-01,-9.34000,-8.66000,281.612,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.101000,284.000,0.790000E-01,284.940,0.137000,285.710,0.380000,285.940,0.454000,286.030,0.420000,286.100,0.421000,286.170,0.254000,286.310,0.388000,286.830,0.138000,284.000,0.510000E-01,284.960,0.200000,285.800,0.393000,286.130,0.428000,286.150,0.358000,286.220,0.321000,286.270,0.115000,286.450,0.375000,287.020,0.00000
2022-11-01,01:30,305.0624,0.00000,0.229000,344.800,355.200,-9999,-11.2500,280.903,98.5779,281.440,-0.360000E-01,-0.100000E-01,-10.5600,-9.81000,281.600,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.102000,283.620,0.760000E-01,284.780,0.133000,285.670,0.377000,285.940,0.450000,286.030,0.417000,286.100,0.421000,286.170,0.255000,286.290,0.386000,286.800,0.139000,283.690,0.550000E-01,284.870,0.195000,285.780,0.396000,286.060,0.425000,286.170,0.358000,286.220,0.319000,286.240,0.119000,286.480,0.373000,286.970,0.00000
2022-11-01,02:00,305.0833,0.00000,0.257000,346.900,356.000,-9999,-9.78000,281.110,98.6211,281.580,-0.330000E-01,-0.300000E-01,-11.6700,-10.7800,281.721,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.101000,283.420,0.790000E-01,284.620,0.132000,285.600,0.380000,285.900,0.455000,286.010,0.415000,286.130,0.424000,286.200,0.259000,286.290,0.386000,286.800,0.136000,283.510,0.560000E-01,284.690,0.201000,285.730,0.392000,286.030,0.428000,286.130,0.357000,286.240,0.315000,286.220,0.120000,286.480,0.366000,287.020,0.00000
2022-11-01,02:30,305.1041,0.00000,0.233000,346.000,355.700,-9999,-10.4400,281.085,98.6519,281.530,-0.330000E-01,-0.150000E-01,-12.2800,-11.1900,281.679,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.101000,283.360,0.720000E-01,284.490,0.138000,285.550,0.377000,285.900,0.456000,286.010,0.420000,286.100,0.425000,286.200,0.258000,286.310,0.395000,286.800,0.137000,283.440,0.470000E-01,284.600,0.199000,285.690,0.397000,286.060,0.427000,286.170,0.357000,286.240,0.318000,286.240,0.120000,286.500,0.367000,287.020,0.00000
2022-11-01,03:00,305.1249,0.00000,0.247000,341.100,354.800,-9999,-14.8200,280.939,98.6541,281.330,-0.350000E-01,-0.100000E-01,-12.6100,-11.3600,281.428,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.104000,283.270,0.770000E-01,284.370,0.132000,285.460,0.379000,285.870,0.454000,286.010,0.416000,286.130,0.417000,286.200,0.256000,286.310,0.386000,286.780,0.136000,283.380,0.470000E-01,284.460,0.199000,285.600,0.396000,286.030,0.426000,286.170,0.358000,286.240,0.313000,286.240,0.118000,286.500,0.371000,286.970,0.00000
2022-11-01,03:30,305.1458,0.00000,0.249000,335.300,353.300,-9999,-19.4400,280.655,98.6594,280.991,-0.310000E-01,-0.200000E-02,-12.8900,-11.5100,281.085,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.102000,283.140,0.760000E-01,284.280,0.131000,285.370,0.381000,285.830,0.451000,286.010,0.417000,286.130,0.419000,286.220,0.258000,286.310,0.386000,286.800,0.136000,283.270,0.500000E-01,284.400,0.199000,285.530,0.395000,286.010,0.425000,286.150,0.354000,286.240,0.322000,286.290,0.119000,286.480,0.372000,287.020,0.00000
2022-11-01,04:00,305.1666,0.00000,0.455000,326.500,350.400,-9999,-25.9700,280.079,98.6424,280.419,-0.400000E-01,-0.300000E-02,-13.3900,-11.9200,280.477,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.100000,282.960,0.790000E-01,284.200,0.131000,285.320,0.378000,285.800,0.457000,285.990,0.412000,286.130,0.417000,286.220,0.257000,286.310,0.388000,286.800,0.139000,283.050,0.510000E-01,284.260,0.198000,285.480,0.394000,285.960,0.427000,286.100,0.352000,286.240,0.321000,286.270,0.116000,286.480,0.372000,286.950,0.00000
2022-11-01,04:30,305.1874,0.00000,0.835000,324.800,348.200,-9999,-26.2700,279.741,98.6420,279.998,-0.300000E-01,-0.100000E-02,-14.2100,-12.6100,280.151,0.130000E-01,0.150000E-01,0.161000,-9999,0.00000,-9999,-9999,-9999,293.250,293.050,288.850,-9999,296.650,-9999,-9999,-9999,0.105000,282.660,0.780000E-01,284.040,0.135000,285.250,0.380000,285.780,0.450000,285.960,0.415000,286.100,0.423000,286.220,0.253000,286.310,0.390000,286.780,0.137000,282.750,0.540000E-01,284.170,0.201000,285.410,0.394000,285.960,0.421000,286.130,0.360000,286.200,0.316000,286.290,0.116000,286.520,0.370000,287.020,0.00000
