file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,air_t_mean,air_p_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--
2022-11-01T000000_Maize-Control-Gill.ghg,2022-11-01,00:30,305.0208,0,18000,18000,-0.300594E-01,0,0.318196E-02,24.5363,0,8.42654,6.41228,0,2.25168,2.73633,0,0.363674,0.143496,0,0.503888E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.129491E-10,0.302523E-12,-9999,20.0230,472.730,478.016,0.00000,0,467.787,11.0442,11.1675,0.00000,0,-9999,-9999,-9999,-9999,0,286.339,281.728,99210.1,1.22170,1011.32,0.236094E-01,0.929855E-02,0.842952E-02,1095.99,1112.49,0.689982E-02,98.5163,16.5061,281.473,1.93521,-1.79175,0.176442,2.64320,0.152216E-13,0.646711E-15,2.64320,4.21179,222.959,317.204,3.82752,-9999,0.156858,0.205721,-13.6437,-0.198113,3.82645,-0.126603,2,10.1945,5.00000,10.0000,20.0000,30.0000,60.0000,195.000,-0.297424E-01,1.01066,24.3956,1.02079,4.58683,1.06129,1.18448,1.06129,0.102646,1.06129,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800000019,800000109,800000109,89999,89999,89,80,2,12,6,0,16,10,0,0,0,0,0,0,17551,0,0,0,0,101,0,18000,18000,0,21,18000,18000,18000,18000,87,0.194100,0.168469,0.488729E-01,0.947096,0.625159E-02,114.091,-9999,0.197449E-01,0.118448E-02,0.102646,-9999,13.0800,472.729,11.0568,8.26829,87.4516,282.927,99045.2,4.64043
2022-11-01T003000_Maize-Control-Gill.ghg,2022-11-01,01:00,305.0416,0,18000,18000,-0.247040E-01,0,0.215144E-02,30.8885,1,8.74969,10.5870,1,1.73847,5.07826,1,0.573759,0.236828,1,0.388892E-01,-9999,-9999,-9999,-0.764022,-0.855347,-0.183083E-01,-0.191339E-01,-9999,-0.100089E-11,-0.227762E-13,-9999,20.0423,472.450,477.509,0.100000,0,456.084,10.7511,10.8679,0.100000,0,-9999,-9999,-9999,-9999,0,286.044,281.327,99223.5,1.22375,1011.15,0.235726E-01,0.153465E-01,0.821863E-02,1067.05,1082.61,0.671596E-02,98.5621,15.5673,281.079,1.25320,-1.59609,0.131954,2.03358,-0.316253E-13,-0.499386E-16,2.03358,3.49408,232.422,308.138,3.72039,-9999,0.142082,0.161421,-8.05477,-0.335578,2.91759,-0.175691,2,8.21344,5.00000,10.0000,15.0000,25.0000,50.0000,160.000,-0.244456E-01,1.01057,30.9167,1.01874,8.24803,1.05044,3.03489,1.05044,0.184507,1.05044,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800000019,800000119,800110119,89999,89999,89,80,17,6,6,0,5,2,0,0,0,0,0,0,17354,0,0,0,0,101,0,18000,18000,0,16,18000,18000,18000,18000,92,0.129977,0.165781,0.270845E-01,1.17048,0.890398E-02,39.6493,-9999,0.249853E-01,0.303489E-02,0.184507,-9999,13.0800,472.451,10.5952,7.64591,91.1403,282.585,99055.8,7.00863
2022-11-01T010000_Maize-Control-Gill.ghg,2022-11-01,01:30,305.0624,0,18000,18000,-0.140278E-01,0,0.188092E-02,-8.92378,1,7.94590,-2.67179,2,2.00570,4.01093,1,1.40012,-0.597322E-01,2,0.448407E-01,-9999,-9999,-9999,-1.17296,-1.29455,0.329992,-0.289418E-01,-9999,0.809692E-10,0.174809E-11,-9999,20.3066,477.492,482.435,0.100000,0,438.410,10.3088,10.4162,0.00000,1,-9999,-9999,-9999,-9999,0,285.458,280.713,99252.7,1.22699,1010.90,0.235142E-01,-0.387065E-02,0.790015E-02,1023.46,1038.22,0.643863E-02,98.5779,14.7644,280.468,1.43719,-1.29377,0.117619,1.93732,0.530423E-13,0.398734E-14,1.93732,3.33672,222.269,318.006,3.48070,-9999,0.106924,0.122313,11.8840,0.227449,3.34000,0.672863E-01,2,81.1482,40.0000,75.0000,135.000,235.000,460.000,1545.00,-0.137917E-01,1.01712,-8.75994,1.03575,-1.94622,1.10042,4.14379,1.10042,-0.435109E-01,1.10042,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800010019,800010119,800010119,89999,89999,89,80,6,6,0,0,9,7,0,0,0,0,0,0,17980,0,0,0,0,101,0,18000,18000,0,21,18000,18000,18000,18000,87,0.107814,0.108288,0.285231E-01,1.10298,0.542003E-01,46.3151,-9999,-0.706240E-02,0.414379E-02,-0.435109E-01,-9999,13.0672,477.488,10.2463,7.16012,84.8211,281.982,99081.2,2.46228
2022-11-01T013000_Maize-Control-Gill.ghg,2022-11-01,02:00,305.0833,0,18000,18000,-0.314024E-01,0,0.452449E-02,10.5798,1,9.18076,8.65373,0,1.61809,-0.497015,2,1.55645,0.193412,0,0.361644E-01,-9999,-9999,-9999,-0.586158,-0.619153,0.601941,-0.138381E-01,-9999,0.116636E-10,0.241997E-12,-9999,20.7232,486.678,491.481,0.00000,1,429.968,10.0977,10.2007,0.100000,0,-9999,-9999,-9999,-9999,0,284.728,280.406,99268.7,1.22863,1010.77,0.234847E-01,0.125331E-01,0.774802E-02,1002.65,1016.67,0.630623E-02,98.6211,14.0186,280.168,2.07560,-1.47261,0.199083,2.55271,0.126186E-14,0.562827E-15,2.55271,4.75282,215.551,324.645,4.47297,-9999,0.159871,0.220992,-33.5084,-0.806663E-01,1.22258,-0.532885E-01,2,14.7352,10.0000,15.0000,25.0000,45.0000,85.0000,280.000,-0.310728E-01,1.01061,10.8480,1.02045,7.53243,1.05966,-1.15204,1.05966,0.168350,1.05966,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800000019,800000119,800000119,89999,89999,89,80,1,3,0,0,3,8,0,0,0,0,0,0,17997,0,0,0,0,101,0,18000,18000,0,21,18000,18000,18000,18000,80,0.235282,0.150073,0.566298E-01,0.830445,0.316333E-01,32.7395,-9999,0.873521E-02,-0.115204E-02,0.168350,-9999,13.0500,486.679,9.77124,6.47167,75.8720,281.560,99102.9,0.852630
2022-11-01T020000_Maize-Control-Gill.ghg,2022-11-01,02:30,305.1041,0,18000,18000,-0.415748E-01,0,0.464555E-02,23.3360,1,12.2867,9.85479,0,0.982638,0.276610,2,1.29625,0.220297,0,0.219662E-01,-9999,-9999,-9999,0.380088,0.413106,-0.134847E-01,0.923470E-02,-9999,0.733029E-10,0.154279E-11,-9999,20.7010,486.472,491.298,0.00000,1,435.689,10.2387,10.3446,0.100000,0,-9999,-9999,-9999,-9999,0,285.316,280.605,99274.5,1.22776,1010.86,0.235000E-01,0.142753E-01,0.785111E-02,1016.71,1030.61,0.639464E-02,98.6519,13.8940,280.371,2.15439,-1.69004,0.177424,2.74392,-0.376749E-13,0.354104E-14,2.74392,4.87413,218.232,321.887,3.70737,-9999,0.184017,0.225144,-23.1685,-0.116667,2.36799,-0.102180,2,12.6664,10.0000,15.0000,25.0000,40.0000,75.0000,245.000,-0.411335E-01,1.01073,23.3992,1.02118,7.94639,1.06311,-1.14542,1.06311,0.177636,1.06311,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800000019,800000109,800010109,89999,89999,89,80,3,7,3,0,2,13,0,0,0,0,0,0,15153,0,0,0,0,101,0,18000,18000,0,21,18000,18000,18000,18000,76,0.255059,0.134820,0.604089E-01,1.23638,0.477841E-01,11.8478,-9999,0.188537E-01,-0.114542E-02,0.177636,-9999,13.0652,486.473,9.82311,6.55043,74.4313,281.767,99108.4,8.67077
2022-11-01T023000_Maize-Control-Gill.ghg,2022-11-01,03:00,305.1249,0,18000,18000,-0.278431E-01,0,0.405286E-02,-10.5039,1,9.31326,5.89548,0,1.16926,1.47593,0,0.747604,0.131786,0,0.261374E-01,-9999,-9999,-9999,-0.520032E-01,-0.615940E-01,-0.699366,-0.137686E-02,-9999,0.202595E-10,0.435071E-12,-9999,20.2530,475.796,480.482,0.00000,0,434.931,10.2177,10.3231,0.100000,0,-9999,-9999,-9999,-9999,0,285.626,280.578,99296.0,1.22816,1010.84,0.234926E-01,0.853974E-02,0.783745E-02,1014.85,1028.69,0.638146E-02,98.6541,13.8455,280.344,1.90234,-1.44784,0.180332,2.39743,0.567632E-14,0.100032E-14,2.39743,4.16954,217.487,322.726,4.31381,-9999,0.150568,0.166164,28.2008,0.958483E-01,-1.78169,0.561926E-01,2,61.0140,30.0000,55.0000,105.000,180.000,345.000,1160.00,-0.274790E-01,1.01325,-9.89756,1.02816,5.91542,1.08563,1.86431,1.08563,0.132232,1.08563,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800001019,800000119,800010119,89999,89999,89,80,6,9,4,6,12,4,0,0,0,0,0,0,15662,0,0,0,0,101,0,18000,18000,0,21,18000,18000,18000,18000,85,0.184681,0.100258,0.473895E-01,0.735076,0.913488E-02,15.6915,-9999,-0.797240E-02,0.186431E-02,0.132232,-9999,13.0709,475.796,9.75284,6.44905,82.9847,281.743,99130.6,7.80727
2022-11-01T030000_Maize-Control-Gill.ghg,2022-11-01,03:30,305.1458,0,18000,18000,-0.202535E-01,0,0.251468E-02,2.06776,0,8.58160,3.73438,0,1.09035,3.10360,0,1.17637,0.834648E-01,0,0.243696E-01,-9999,-9999,-9999,-0.306716,-0.334090,-0.242153,-0.746703E-02,-9999,-0.294837E-10,-0.631001E-12,-9999,20.1130,472.102,476.708,0.00000,0,430.452,10.1038,10.2069,0.100000,0,-9999,-9999,-9999,-9999,0,285.439,280.417,99324.5,1.22927,1010.78,0.234725E-01,0.540852E-02,0.775675E-02,1003.82,1017.46,0.631006E-02,98.6594,13.6405,280.185,1.48742,-1.63202,0.136504,2.21236,0.240020E-13,-0.146590E-14,2.21236,3.78815,227.637,312.346,3.53744,-9999,0.128359,0.167497,-88.7717,-0.304489E-01,0.553709,-0.129650E-01,2,21.9703,10.0000,20.0000,40.0000,65.0000,125.000,420.000,-0.200425E-01,1.01052,2.23736,1.01928,3.40015,1.05358,2.79506,1.05358,0.759946E-01,1.05358,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800011119,800000119,800010119,89999,89999,89,80,14,4,1,0,5,7,0,0,0,0,0,0,17499,0,0,0,0,101,0,18000,18000,0,21,18000,18000,18000,18000,88,0.162069,0.142250,0.306761E-01,2.62751,0.441246E-01,34.2569,-9999,0.180066E-02,0.279506E-02,0.759946E-01,-9999,13.0800,472.101,9.66198,6.31706,85.8609,281.644,99162.6,6.30101
2022-11-01T033000_Maize-Control-Gill.ghg,2022-11-01,04:00,305.1666,0,18000,18000,-0.198238E-01,0,0.235543E-02,11.6817,1,12.6379,2.24806,1,1.40924,2.17765,0,0.455750,0.502306E-01,1,0.314882E-01,-9999,-9999,-9999,-0.566932,-0.609908,0.522370,-0.136278E-01,-9999,-0.399943E-10,-0.824463E-12,-9999,20.4796,480.059,484.673,0.100000,0,422.176,9.89619,9.99510,0.100000,0,-9999,-9999,-9999,-9999,0,285.134,280.121,99353.2,1.23102,1010.66,0.234409E-01,0.325495E-02,0.760762E-02,983.482,997.018,0.617993E-02,98.6424,13.5358,279.887,1.49028,-1.45017,0.125533,2.08319,-0.193361E-13,-0.195289E-14,2.08319,3.40044,224.252,315.781,3.45473,-9999,0.126900,0.123940,-15.1860,-0.177993,5.19637,-0.739906E-01,2,10.6521,5.00000,10.0000,20.0000,35.0000,60.0000,205.000,-0.196169E-01,1.01055,11.5914,1.01888,1.51477,1.05131,1.39548,1.05131,0.338460E-01,1.05131,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800010119,800000119,800010119,89999,89999,89,80,2,6,3,0,7,0,0,0,0,0,0,0,17112,0,0,0,0,101,0,18000,18000,0,16,18000,18000,18000,18000,84,0.122846,0.904859E-01,0.345487E-01,2.77973,0.996948E-02,83.4377,-9999,0.931681E-02,0.139548E-02,0.338460E-01,-9999,13.0800,480.061,9.52053,6.10476,83.2095,281.348,99193.0,6.12441
2022-11-01T040000_Maize-Control-Gill.ghg,2022-11-01,04:30,305.1874,0,18000,18000,-0.106895E-01,0,0.196179E-02,17.5608,1,7.26558,-0.363280,2,2.35184,-0.840774E-01,2,1.84908,-0.811284E-02,2,0.525218E-01,-9999,-9999,-9999,-1.06717,-1.10425,0.991316E-02,-0.246604E-01,-9999,-0.165439E-09,-0.328027E-11,-9999,20.5339,480.210,484.663,0.00000,1,407.139,9.52143,9.61296,0.00000,1,-9999,-9999,-9999,-9999,0,284.723,279.565,99387.8,1.23407,1010.44,0.233862E-01,-0.525712E-03,0.733664E-02,946.568,959.600,0.594505E-02,98.6420,13.0314,279.332,1.14170,-1.26417,0.106391,1.70673,-0.352739E-13,-0.805688E-14,1.70673,3.16827,228.392,312.086,3.57390,-9999,0.930696E-01,0.120828,-3.98587,-0.678145,-48.3396,-0.151316,2,6.15542,5.00000,10.0000,15.0000,20.0000,35.0000,120.000,-0.105745E-01,1.01088,17.2313,1.01794,-1.22334,1.04484,-1.06673,1.04484,-0.273198E-01,1.04484,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800001019,800010119,811110119,89999,89999,89,81,4,4,0,0,4,2,0,0,0,0,0,0,17179,0,0,0,0,301,151,18000,18000,0,21,18000,18000,18000,18000,86,0.171715,0.505669E-01,0.193743E-01,0.948211,0.977374E-01,79.3875,-9999,0.138186E-01,-0.106673E-02,-0.273198E-01,-9999,13.0800,480.206,9.18750,5.59632,85.9496,280.803,99232.0,6.65973
