date,time,DOY,SWin,SWout,LWin,LWout,Rr,Rn,Ta_1_1_1,RH,Tc_1_1_1,PPFD,PPFDr,SHF_1_1_1,SHF_1_1_2,Ts_1_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,Ts_1_1_1,Ts_1_2_1,Ts_1_3_1,Ts_1_4_1,Ts_2_1_1,Ts_2_2_1,Ts_2_3_1,Ts_2_4_1,SWC_3_1_1,Ts_3_1_1,SWC_3_2_1,Ts_3_2_1,SWC_3_3_1,Ts_3_3_1,SWC_3_4_1,Ts_3_4_1,SWC_3_5_1,Ts_3_5_1,SWC_3_6_1,Ts_3_6_1,SWC_3_7_1,Ts_3_7_1,SWC_3_8_1,Ts_3_8_1,SWC_3_9_1,Ts_3_9_1,SWC_4_1_1,Ts_4_1_1,SWC_4_2_1,Ts_4_2_1,SWC_4_3_1,Ts_4_3_1,SWC_4_4_1,Ts_4_4_1,SWC_4_5_1,Ts_4_5_1,SWC_4_6_1,Ts_4_6_1,SWC_4_7_1,Ts_4_7_1,SWC_4_8_1,Ts_4_8_1,SWC_4_9_1,Ts_4_9_1,P_rain
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[K],[%],[K],[µmol/m^2/s],[µmol/m^2/s],[W/m^2],[W/m^2],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[K],[K],[K],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m]
2022-12-01,00:30,335.0208,0.00000,0.941000,194.400,284.000,-9999,-95.0000,267.361,71.5352,266.115,-0.150000E-01,0.200000E-02,-22.5600,-25.3600,0.00000,0.199000,0.320000,0.526000,-9999,0.316000,0.352000,0.383000,-9999,275.517,277.267,281.450,-9999,275.250,277.217,281.150,-9999,0.220000E-01,270.710,0.780000E-01,273.985,0.381000,276.856,0.363000,278.337,0.303000,279.539,0.324000,280.388,0.270000,280.953,0.277000,281.630,0.358000,282.640,0.00000,269.655,0.103000,273.236,0.219000,276.401,0.352000,277.894,0.790000E-01,279.150,0.113000,280.097,0.234000,280.764,0.318000,281.420,0.393000,282.380,0.00000
2022-12-01,01:00,335.0416,0.00000,1.14300,194.300,283.100,-9999,-94.2000,267.087,73.3628,265.941,-0.320000E-01,0.170000E-01,-22.6100,-25.4200,0.00000,0.198000,0.320000,0.526000,-9999,0.316000,0.352000,0.383000,-9999,275.450,277.250,281.450,-9999,275.250,277.150,281.170,-9999,0.200000E-01,270.521,0.740000E-01,273.889,0.381000,276.856,0.364000,278.357,0.301000,279.539,0.320000,280.346,0.266000,280.911,0.280000,281.630,0.353000,282.620,0.00000,269.467,0.890000E-01,273.122,0.218000,276.362,0.352000,277.894,0.850000E-01,279.068,0.109000,280.076,0.236000,280.722,0.321000,281.440,0.396000,282.420,0.00000
2022-12-01,01:30,335.0624,0.00000,1.05100,194.400,282.500,-9999,-93.4000,266.832,74.4001,265.789,-0.240000E-01,0.100000E-01,-22.6700,-25.4500,0.00000,0.197000,0.321000,0.526000,-9999,0.315000,0.351000,0.384000,-9999,275.417,277.167,281.450,-9999,275.167,277.150,281.150,-9999,0.180000E-01,270.389,0.750000E-01,273.812,0.382000,276.797,0.366000,278.297,0.303000,279.498,0.318000,280.367,0.266000,280.869,0.283000,281.650,0.354000,282.570,0.00000,269.335,0.890000E-01,273.064,0.221000,276.342,0.351000,277.854,0.790000E-01,279.048,0.113000,280.056,0.239000,280.722,0.320000,281.440,0.398000,282.420,0.00000
2022-12-01,02:00,335.0833,0.00000,0.912000,194.600,281.900,-9999,-92.5000,266.694,74.5210,265.659,-0.270000E-01,0.800000E-02,-22.7300,-25.4800,0.00000,0.197000,0.320000,0.525000,-9999,0.309000,0.350000,0.384000,-9999,275.350,277.150,281.450,-9999,275.117,277.117,281.150,-9999,0.140000E-01,270.295,0.760000E-01,273.774,0.379000,276.757,0.366000,278.236,0.301000,279.478,0.318000,280.304,0.266000,280.911,0.280000,281.590,0.357000,282.640,0.00000,269.185,0.880000E-01,272.969,0.219000,276.283,0.357000,277.814,0.880000E-01,279.027,0.114000,279.994,0.237000,280.722,0.319000,281.420,0.397000,282.420,0.00000
2022-12-01,02:30,335.1041,0.00000,1.00900,194.800,281.100,-9999,-91.6000,266.414,75.5674,265.495,-0.310000E-01,0.120000E-01,-22.7900,-25.4400,0.00000,0.195000,0.319000,0.526000,-9999,0.312000,0.351000,0.384000,-9999,275.350,277.150,281.450,-9999,275.083,277.150,281.150,-9999,0.120000E-01,270.163,0.720000E-01,273.716,0.380000,276.717,0.367000,278.256,0.304000,279.396,0.320000,280.325,0.270000,280.848,0.282000,281.630,0.357000,282.570,0.00000,269.035,0.850000E-01,272.835,0.215000,276.243,0.348000,277.773,0.760000E-01,279.007,0.106000,279.993,0.235000,280.701,0.316000,281.400,0.394000,282.420,0.00000
2022-12-01,03:00,335.1249,0.00000,1.44100,195.500,280.400,-9999,-90.3000,266.171,76.1348,265.380,-0.430000E-01,0.190000E-01,-22.8400,-25.4100,0.00000,0.196000,0.318000,0.526000,-9999,0.311000,0.352000,0.381000,-9999,275.317,277.150,281.450,-9999,275.117,277.083,281.150,-9999,0.110000E-01,270.088,0.710000E-01,273.639,0.383000,276.658,0.365000,278.176,0.302000,279.416,0.315000,280.284,0.270000,280.869,0.279000,281.590,0.353000,282.620,0.00000,268.960,0.790000E-01,272.739,0.216000,276.184,0.353000,277.693,0.870000E-01,278.966,0.116000,279.993,0.238000,280.722,0.321000,281.420,0.394000,282.420,0.00000
2022-12-01,03:30,335.1458,0.00000,1.53900,196.100,280.100,-9999,-89.5000,266.154,77.2709,265.330,-0.240000E-01,0.100000E-01,-22.8700,-25.4300,0.00000,0.194000,0.318000,0.524000,-9999,0.308000,0.350000,0.383000,-9999,275.250,277.150,281.450,-9999,274.933,277.033,281.150,-9999,0.700000E-02,269.994,0.720000E-01,273.524,0.384000,276.599,0.365000,278.155,0.297000,279.375,0.318000,280.242,0.266000,280.848,0.282000,281.540,0.352000,282.550,0.00000,268.809,0.700000E-01,272.644,0.216000,276.145,0.349000,277.673,0.810000E-01,278.925,0.109000,279.973,0.230000,280.660,0.325000,281.420,0.395000,282.420,0.00000
2022-12-01,04:00,335.1666,0.00000,1.29000,196.700,279.400,-9999,-88.1000,265.736,78.9742,265.188,-0.300000E-01,0.200000E-01,-22.9100,-25.4000,0.00000,0.195000,0.318000,0.525000,-9999,0.303000,0.350000,0.385000,-9999,275.200,277.100,281.420,-9999,274.867,277.000,281.150,-9999,0.400000E-02,269.899,0.690000E-01,273.505,0.383000,276.559,0.364000,278.115,0.305000,279.375,0.316000,280.284,0.266000,280.848,0.283000,281.630,0.355000,282.550,0.00000,268.753,0.660000E-01,272.511,0.213000,276.066,0.352000,277.613,0.810000E-01,278.885,0.115000,279.932,0.237000,280.680,0.319000,281.400,0.400000,282.400,0.00000
2022-12-01,04:30,335.1874,0.00000,1.89700,196.400,278.200,-9999,-87.6000,265.356,79.4927,265.010,-0.420000E-01,0.240000E-01,-22.9500,-25.3000,0.00000,0.194000,0.318000,0.524000,-9999,0.301000,0.350000,0.384000,-9999,275.150,277.050,281.400,-9999,274.850,276.917,281.150,-9999,0.300000E-02,269.805,0.700000E-01,273.390,0.382000,276.520,0.362000,278.055,0.301000,279.293,0.320000,280.263,0.265000,280.806,0.284000,281.630,0.352000,282.620,0.00000,268.678,0.600000E-01,272.473,0.218000,276.047,0.356000,277.613,0.810000E-01,278.864,0.112000,279.911,0.234000,280.638,0.320000,281.400,0.397000,282.420,0.00000
