file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,air_t_mean,air_p_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--
2022-12-01T000000_Maize-Control-Gill.ghg,2022-12-01,00:30,335.0208,0,18000,18000,-0.740542E-01,0,0.552070E-02,-24.9460,0,2.26372,11.6701,0,0.597519,1.43029,0,0.246909,0.257467,0,0.131825E-01,-0.647382E-04,1,0.880180E-03,-9999,-9999,-9999,-9999,-9999,0.119872E-09,0.759787E-12,0.602586E-12,19.2029,423.514,424.688,0.00000,0,121.714,2.68435,2.69158,0.00000,0,0.965309E-01,2.05896,2.06467,-0.100000,0,269.953,266.729,100550.,1.31198,1006.52,0.220547E-01,0.166839E-01,0.219328E-02,269.983,377.413,0.167174E-02,71.5352,107.430,262.406,-1.70582,-3.37400,0.341042,3.79605,0.428746E-13,0.624241E-14,3.79605,5.91499,297.138,243.180,5.15448,-9999,0.237581,0.360269,47.0024,0.575077E-01,-2.13760,0.795135E-01,2,51.5486,25.0000,45.0000,90.0000,150.000,290.000,980.000,-0.729569E-01,1.01504,-23.5686,1.03321,10.8121,1.11260,2.40990,1.11260,0.238536,1.11260,0.536981E-02,1.35546,800000009,800000009,800000009,800000009,800000009,800000009,800000109,800010109,89999,89999,89,80,14,2,3,0,8,5,0,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,100,0.417816,0.235466,0.672554E-01,0.609148E-01,0.134316E-02,6.10614,0.106850E-06,-0.178478E-01,0.240990E-02,0.238536,0.536981E-05,13.1748,423.514,2.76577,-10.4275,99.5847,268.230,100390.,42.7984
2022-12-01T003000_Maize-Control-Gill.ghg,2022-12-01,01:00,335.0416,0,18000,18000,-0.457559E-01,0,0.296180E-02,-14.4444,0,1.12235,7.88267,0,0.354260,0.913477,0,0.149920,0.173843,0,0.781277E-02,0.490922E-03,0,0.527228E-03,-0.812821,-0.475943E-01,0.740219E-01,-0.104963E-02,-0.109257E-04,-0.375443E-10,-0.236045E-12,-0.188267E-12,19.2832,424.573,425.754,0.100000,0,121.236,2.66934,2.67648,0.100000,0,0.966963E-01,2.05880,2.06453,-0.100000,0,269.474,266.330,100567.,1.31418,1006.51,0.220177E-01,0.112650E-01,0.218467E-02,268.520,366.017,0.166237E-02,73.3628,97.4968,262.338,-1.27120,-3.01125,0.287045,3.28116,0.666549E-13,-0.194699E-14,3.28116,5.56806,292.556,247.113,5.01881,-9999,0.186593,0.277937,39.3300,0.687261E-01,-1.83243,0.585236E-01,2,54.6710,25.0000,50.0000,95.0000,160.000,310.000,1040.00,-0.451120E-01,1.01427,-13.6163,1.03116,7.33361,1.10273,1.47842,1.10273,0.161734,1.10273,0.343926E-02,1.36155,800000009,800000009,800000009,800000009,800000009,800000009,800010109,800010109,89999,89999,89,80,20,2,3,4,9,5,6,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,21,18000,18000,18000,18000,100,0.286856,0.216192,0.528262E-01,0.457539E-01,0.142261E-02,3.95895,0.400179E-07,-0.102941E-01,0.147842E-02,0.161734,0.343926E-05,13.2200,424.573,2.77419,-10.3862,99.5808,267.849,100400.,41.9257
2022-12-01T010000_Maize-Control-Gill.ghg,2022-12-01,01:30,335.0624,0,18000,18000,-0.538297E-01,0,0.296832E-02,-16.1934,0,1.26064,7.11161,0,0.342647,1.03017,0,0.135399,0.156797,0,0.755467E-02,0.137543E-02,1,0.105394E-02,-0.570646,-0.668824E-01,0.135256E-01,-0.147462E-02,0.540908E-03,-0.364814E-10,-0.227449E-12,-0.183502E-12,19.3202,424.766,425.957,0.100000,0,120.455,2.64827,2.65530,0.100000,0,0.971809E-01,2.06653,2.07232,0.00000,0,269.119,266.050,100609.,1.31612,1006.49,0.219856E-01,0.101604E-01,0.217059E-02,266.510,358.211,0.164924E-02,74.4001,91.7017,262.244,-0.764812,-2.93549,0.246008,3.04345,-0.226890E-13,-0.188825E-14,3.04345,5.08575,284.762,255.397,4.63639,-9999,0.202238,0.203511,44.6803,0.604965E-01,-2.27703,0.604461E-01,2,52.4177,25.0000,50.0000,90.0000,155.000,295.000,1000.00,-0.531237E-01,1.01329,-15.3831,1.02889,6.71406,1.09379,1.69253,1.09379,0.148031,1.09379,0.462246E-02,1.34936,800000009,800000009,800000009,800000009,800000009,800000009,800000109,800000109,89999,89999,89,80,21,5,1,8,8,3,0,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,100,0.247116,0.113107,0.467989E-01,0.448027E-01,0.979321E-03,3.47061,0.216594E-06,-0.116128E-01,0.169253E-02,0.148031,0.462246E-05,13.2157,424.766,2.79581,-10.2831,99.5777,267.546,100437.,42.1279
2022-12-01T013000_Maize-Control-Gill.ghg,2022-12-01,02:00,335.0833,0,18000,18000,-0.482158E-01,0,0.326733E-02,-16.6026,0,0.921715,7.71581,0,0.349667,1.31925,0,0.211612,0.170085,0,0.770796E-02,-0.912343E-03,0,0.528879E-03,-0.419639,-0.119257,0.504774E-01,-0.262886E-02,-0.494671E-03,-0.584662E-10,-0.358743E-12,-0.292625E-12,19.3684,425.486,426.670,0.100000,0,118.843,2.61074,2.61757,0.100000,0,0.969394E-01,2.05947,2.06520,-0.100000,0,268.788,265.844,100611.,1.31719,1006.47,0.219681E-01,0.110215E-01,0.214154E-02,262.740,352.571,0.162585E-02,74.5210,89.8315,262.065,-1.27993,-3.22645,0.297692,3.48379,0.121060E-13,-0.301864E-14,3.48379,6.34603,291.442,248.362,4.90193,-9999,0.191325,0.299538,36.8979,0.732561E-01,-2.15177,0.654572E-01,2,55.8349,25.0000,50.0000,95.0000,165.000,315.000,1060.00,-0.475000E-01,1.01507,-15.6931,1.03298,7.16212,1.10996,1.94539,1.10996,0.157880,1.10996,0.288190E-02,1.36995,800000009,800000009,800000009,800000009,800000009,800001009,800010109,800010109,89999,89999,89,80,17,2,2,6,10,4,3,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,100,0.365187,0.179574,0.543153E-01,0.297146E-01,0.237547E-02,3.84679,0.332779E-07,-0.118375E-01,0.194539E-02,0.157880,0.288190E-05,13.2100,425.487,2.77407,-10.3814,99.5745,267.343,100445.,41.9042
2022-12-01T020000_Maize-Control-Gill.ghg,2022-12-01,02:30,335.1041,0,18000,18000,-0.611124E-01,0,0.356305E-02,-14.5145,0,0.872326,7.83387,0,0.351927,0.840739,0,0.911531E-01,0.172667,0,0.775683E-02,-0.111923E-01,0,0.177812E-02,-0.261084,0.327448E-01,-0.417818E-01,0.721729E-03,0.843370E-04,0.148305E-10,0.914852E-13,0.743712E-13,19.3530,424.890,426.064,0.100000,0,119.384,2.62104,2.62792,0.100000,0,0.970507E-01,2.06067,2.06636,0.900000,0,268.587,265.716,100624.,1.31798,1006.48,0.219547E-01,0.111888E-01,0.215129E-02,263.809,349.104,0.163227E-02,75.5674,85.2950,262.116,-1.43866,-3.38459,0.327714,3.69224,-0.859098E-14,0.766313E-15,3.69224,5.93279,293.048,246.972,5.09214,-9999,0.215333,0.256482,60.1773,0.449172E-01,-1.85279,0.508137E-01,2,47.5120,25.0000,45.0000,80.0000,140.000,270.000,905.000,-0.602660E-01,1.01404,-13.6901,1.03108,7.27253,1.10503,1.41561,1.10503,0.160294,1.10503,-0.550603E-02,1.33851,800000009,800000009,800000009,800000009,800000009,800000009,800000109,800010109,89999,89999,89,80,14,10,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,100,0.296002,0.157283,0.596789E-01,0.261227E-01,0.441300E-03,3.02780,0.869502E-06,-0.103204E-01,0.141561E-02,0.160294,-0.550603E-05,13.1871,424.891,2.75430,-10.4697,99.5736,267.209,100463.,42.0046
2022-12-01T023000_Maize-Control-Gill.ghg,2022-12-01,03:00,335.1249,0,18000,18000,-0.368192E-01,0,0.362870E-02,-10.5103,0,1.09981,5.92784,0,0.297596,0.592763,0,0.839838E-01,0.130618,0,0.655744E-02,-0.121362E-03,0,0.351643E-03,-0.621533,-0.133573,0.911163E-02,-0.294324E-02,0.220476E-04,0.178857E-09,0.108534E-11,0.896935E-12,19.3824,425.020,426.188,0.100000,0,117.616,2.57910,2.58577,0.100000,0,0.971992E-01,2.06099,2.06665,-0.200000,0,268.232,265.412,100631.,1.31960,1006.45,0.219281E-01,0.846408E-02,0.211944E-02,259.606,340.982,0.160612E-02,76.1348,81.3761,261.915,-1.04786,-2.54630,0.254422,2.76521,-0.104029E-13,0.922781E-14,2.76521,4.95318,291.965,247.632,5.27915,-9999,0.167038,0.281554,38.7930,0.696775E-01,-1.77304,0.473767E-01,2,54.9196,25.0000,50.0000,95.0000,160.000,310.000,1045.00,-0.363455E-01,1.01303,-9.92657,1.02808,5.57550,1.08900,1.02402,1.08900,0.122855,1.08900,0.213895E-02,1.35631,800000009,800000009,800000009,800000009,800000009,800000009,800000109,800110109,89999,89999,89,81,26,13,0,9,15,3,5,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,100,0.411988,0.107803,0.433165E-01,0.482725E-01,0.436317E-03,2.21455,0.203279E-07,-0.747418E-02,0.102402E-02,0.122855,0.213895E-05,13.1781,425.020,2.73993,-10.5344,99.5703,266.927,100472.,41.5583
2022-12-01T030000_Maize-Control-Gill.ghg,2022-12-01,03:30,335.1458,0,18000,18000,-0.345202E-01,0,0.220561E-02,-14.8634,0,0.944819,4.53864,0,0.228785,0.821452,0,0.907875E-01,0.999841E-01,0,0.504002E-02,0.725034E-04,0,0.173685E-02,-0.512085,-0.405357E-01,0.604299E-02,-0.892984E-03,0.467547E-03,0.672913E-10,0.406241E-12,0.338419E-12,19.4112,425.106,426.259,0.100000,0,117.186,2.56639,2.57299,0.100000,0,0.976219E-01,2.06764,2.07325,0.800000,0,267.901,265.162,100664.,1.32130,1006.44,0.219001E-01,0.647897E-02,0.211170E-02,258.413,334.425,0.159820E-02,77.2709,76.0118,261.857,-0.582297,-2.18933,0.184004,2.27291,-0.502460E-14,0.346663E-14,2.27291,3.90603,285.019,255.106,4.64348,-9999,0.161635,0.130508,24.8608,0.108725,-3.27486,0.691502E-01,2,63.6057,30.0000,60.0000,110.000,185.000,360.000,1210.00,-0.340597E-01,1.01352,-14.2229,1.02859,4.37714,1.08546,1.47141,1.08546,0.964263E-01,1.08546,0.331868E-02,1.39622,800000009,800000009,800000009,800000009,800000009,800000019,800000109,800100109,89999,89999,89,80,22,14,2,3,6,2,1,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,100,0.166905,0.622877E-01,0.318224E-01,0.339074E-01,0.564926E-03,1.83613,0.158396E-05,-0.106954E-01,0.147141E-02,0.964263E-01,0.331868E-05,13.1600,425.106,2.70513,-10.6908,99.5673,266.681,100505.,41.6626
2022-12-01T033000_Maize-Control-Gill.ghg,2022-12-01,04:00,335.1666,0,18000,18000,-0.235286E-01,0,0.156978E-02,-5.42394,1,0.671432,1.77620,1,0.204003,-0.445626,2,0.226206,0.391281E-01,1,0.449402E-02,0.848331E-03,0,0.652272E-03,-0.424106E-01,0.164748,0.813470E-01,0.362926E-02,0.480192E-03,0.691917E-10,0.424961E-12,0.348076E-12,19.4709,426.263,427.438,0.00000,1,119.586,2.61802,2.62489,0.100000,0,0.979506E-01,2.07447,2.08019,-0.200000,0,267.857,265.141,100692.,1.32174,1006.47,0.218923E-01,0.253550E-02,0.215495E-02,263.685,333.887,0.163039E-02,78.9742,70.2023,262.110,-0.168087,-2.10352,0.141053,2.11493,0.368254E-13,0.355359E-14,2.11493,4.13244,273.497,265.431,3.82411,-9999,0.133421,0.193944,38.3243,0.705298E-01,-3.05368,0.305593E-01,2,55.1404,25.0000,50.0000,95.0000,160.000,310.000,1050.00,-0.232558E-01,1.01173,-5.20371,1.02458,1.73047,1.07198,-0.151952,1.07198,0.381207E-01,1.07198,0.187647E-02,1.35187,800000009,800000009,800000009,800000009,800000009,800000009,800000109,800010119,89999,89999,89,80,17,5,10,1,0,4,1,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,100,0.236635,0.120400,0.308537E-01,0.420462E-01,0.301636E-02,2.69731,0.553530E-07,-0.391171E-02,-0.151952E-03,0.381207E-01,0.187647E-05,13.1686,426.263,2.74672,-10.4955,99.5637,266.657,100534.,41.1652
2022-12-01T040000_Maize-Control-Gill.ghg,2022-12-01,04:30,335.1874,0,18000,18000,-0.313025E-01,1,0.364187E-02,-13.5034,1,2.05125,0.901550,1,0.156261,0.464406,1,0.265382,0.198530E-01,1,0.344102E-02,-0.401627E-03,1,0.478814E-03,-0.804154,-0.199532,0.126803,-0.439389E-02,0.272767E-03,-0.109651E-09,-0.654633E-12,-0.550394E-12,19.5851,428.064,429.236,0.100000,0,116.926,2.55561,2.56216,0.100000,0,0.983077E-01,2.07835,2.08403,-0.200000,0,267.299,264.749,100707.,1.32393,1006.43,0.218566E-01,0.128648E-02,0.210701E-02,257.438,323.851,0.159148E-02,79.4927,66.4132,261.810,-0.475492,-1.68314,0.142421,1.75480,-0.581280E-13,-0.559868E-14,1.75480,3.91842,288.148,254.225,4.65530,-9999,0.153765,0.280821,23.5658,0.114700,-14.9780,0.659080E-01,2,64.7385,30.0000,60.0000,110.000,190.000,365.000,1230.00,-0.309109E-01,1.01267,-13.1140,1.02615,1.02894,1.07148,1.12517,1.07148,0.226584E-01,1.07148,0.283643E-02,1.39973,800000009,800000009,800000009,800000009,800000009,800000009,811110109,811110119,89999,89999,89,81,7,5,1,9,2,2,3,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,21,18000,18000,18000,18000,100,0.401844,0.139397,0.204016E-01,0.116913,0.402362E-02,2.92602,0.461033E-07,-0.984208E-02,0.112517E-02,0.226584E-01,0.283643E-05,13.1800,428.063,2.72914,-10.5747,99.5603,266.312,100550.,40.8563
