date,time,co2_irga_northward_separation,co2_irga_eastward_separation,ch4_irga_northward_separation,ch4_irga_eastward_separation,canopy_height,master_sonic_height
2022-01-01,00:00,-6,20,0,0,0.1,2.77
2022-06-06,00:00,-6,20,0,0,0.11,2.77
2022-06-13,00:00,-6,20,0,0,0.17,2.77
2022-06-16,00:00,-6,20,0,0,0.22,2.77
2022-06-22,00:00,-6,20,0,0,0.31,2.77
2022-06-28,00:00,-6,20,0,0,0.35,2.77
2022-07-01,00:00,-6,20,0,0,0.39,2.77
2022-07-05,00:00,-6,20,0,0,0.42,2.77
2022-07-11,00:00,-6,20,0,0,0.52,2.77
2022-07-14,00:00,-6,20,-5,-40,0.64,2.77
2022-07-22,00:00,-6,20,-5,-40,0.73,2.77
2022-07-27,00:00,-6,20,-5,-40,0.89,2.77
2022-08-02,00:00,-6,20,-5,-40,0.95,2.77
2022-08-10,00:00,-6,20,-5,-40,0.97,2.77
2022-10-04,12:00,-6,20,-5,-40,0.10,2.77
2022-12-31,00:00,-6,20,-5,-40,0.10,2.77
