date,time,DOY,SWin,SWout,LWin,LWout,Rr,Rn,Ta,RH,Tc,PPFD,PPFDr,SHF_1_1_1,SHF_1_1_2,Ts,SWC_1_5_1,SWC_2_5_1,SWC_1_4_1,SWC_2_4_1,SWC_1_3_1,SWC_2_3_1,SWC_1_2_1,SWC_2_2_1,SWC_1_1_1,SWC_2_1_1,Ts_1_5_1,Ts_2_5_1,Ts_1_4_1,Ts_2_4_1,Ts_1_3_1,Ts_2_3_1,Ts_1_2_1,Ts_2_2_1,Ts_1_1_1,Ts_2_1_1,SWC_3_1_1,Ts_3_1_1,SWC_3_2_1,Ts_3_2_1,SWC_3_3_1,Ts_3_3_1,SWC_3_4_1,Ts_3_4_1,SWC_3_5_1,Ts_3_5_1,SWC_3_6_1,Ts_3_6_1,SWC_3_7_1,Ts_3_7_1,SWC_3_8_1,Ts_3_8_1,SWC_3_9_1,Ts_3_9_1,SWC_4_1_1,Ts_4_1_1,SWC_4_2_1,Ts_4_2_1,SWC_4_3_1,Ts_4_3_1,SWC_4_4_1,Ts_4_4_1,SWC_4_5_1,Ts_4_5_1,SWC_4_6_1,Ts_4_6_1,SWC_4_7_1,Ts_4_7_1,SWC_4_8_1,Ts_4_8_1,SWC_4_9_1,Ts_4_9_1,P_rain
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[K],[%],[K],[µmol/m^2/s],[µmol/m^2/s],[W/m^2],[W/m^2],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[K],[K],[K],[K],[K],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m^3/m^3],[K],[m]
2022-09-01,00:30,244.0208,-1.32100,3.10200,347.000,389.100,-2.43700,-46.5300,289.570,97.3000,287.240,0.710000E-01,-1.35600,-14.5400,-18.6800,289.560,-9999,-9999,-9999,-9999,-9999,0.430000,0.376000,-9999,-9999,0.258000,-9999,-9999,-9999,-9999,-9999,294.080,293.920,-9999,-9999,293.680,0.119000,290.670,0.720000E-01,292.700,0.410000E-01,294.230,0.185000,294.480,0.265000,294.310,0.269000,294.120,0.270000,293.920,0.322000,293.610,0.389000,292.980,0.00000,291.470,0.123000,293.170,0.900000E-02,294.340,0.126000,294.460,0.245000,294.280,0.307000,294.170,0.320000,294.030,0.424000,293.690,0.452000,293.090,0.00000
2022-09-01,01:00,244.0416,-2.39700,2.03100,345.800,387.800,-1.19700,-46.4700,289.280,94.4000,287.120,0.690000E-01,-1.37500,-15.0500,-19.0400,289.447,-9999,-9999,-9999,-9999,-9999,0.425000,0.374000,-9999,-9999,0.258000,-9999,-9999,-9999,-9999,-9999,294.120,293.880,-9999,-9999,293.550,0.111000,290.510,0.760000E-01,292.490,0.360000E-01,294.170,0.188000,294.460,0.272000,294.340,0.274000,294.140,0.273000,293.920,0.327000,293.580,0.381000,292.950,0.00000,291.290,0.124000,293.000,0.100000E-01,294.260,0.123000,294.430,0.245000,294.280,0.306000,294.170,0.308000,294.030,0.420000,293.690,0.461000,293.110,0.00000
2022-09-01,01:30,244.0624,-3.35000,0.211000,341.900,385.800,-0.131000,-47.3900,288.370,96.9000,286.900,0.690000E-01,-1.37900,-15.2800,-19.2900,289.420,-9999,-9999,-9999,-9999,-9999,0.428000,0.376000,-9999,-9999,0.257000,-9999,-9999,-9999,-9999,-9999,294.050,293.680,-9999,-9999,293.320,0.133000,290.410,0.950000E-01,292.350,0.570000E-01,294.030,0.210000,294.400,0.297000,294.310,0.294000,294.170,0.288000,293.950,0.357000,293.580,0.413000,292.950,0.00000,291.210,0.118000,292.870,0.600000E-02,294.140,0.129000,294.400,0.244000,294.280,0.309000,294.170,0.317000,294.030,0.434000,293.690,0.461000,293.090,0.00000
2022-09-01,02:00,244.0833,-1.59100,1.40400,343.500,386.400,-1.13900,-45.9500,288.450,97.6000,286.930,0.720000E-01,-1.31900,-15.4100,-19.4500,289.325,-9999,-9999,-9999,-9999,-9999,0.430000,0.375000,-9999,0.302000,0.258000,-9999,-9999,-9999,-9999,-9999,294.050,293.620,-9999,273.717,293.220,0.131000,290.260,0.920000E-01,292.220,0.550000E-01,293.950,0.209000,294.370,0.299000,294.310,0.299000,294.140,0.296000,293.920,0.356000,293.610,0.417000,292.950,0.00000,291.050,0.122000,292.730,0.800000E-02,294.060,0.124000,294.370,0.248000,294.280,0.309000,294.170,0.319000,294.030,0.428000,293.690,0.463000,293.090,0.00000
2022-09-01,02:30,244.1041,-1.78500,0.817000,349.000,384.900,-0.574000,-38.5400,288.140,97.4000,286.430,0.710000E-01,-1.25500,-15.3900,-19.5800,289.160,-9999,-9999,-9999,-9999,-9999,0.428000,0.379000,-9999,0.300000,0.255000,-9999,-9999,-9999,-9999,-9999,294.050,293.580,-9999,273.650,293.050,0.121000,290.180,0.920000E-01,292.080,0.620000E-01,293.830,0.205000,294.340,0.288000,294.310,0.297000,294.140,0.289000,293.890,0.351000,293.580,0.417000,292.980,0.00000,290.980,0.118000,292.620,0.800000E-02,293.970,0.129000,294.340,0.244000,294.280,0.305000,294.170,0.320000,294.030,0.432000,293.690,0.466000,293.090,0.00000
2022-09-01,03:00,244.1249,-1.72300,1.14100,350.500,383.500,-0.685000,-35.8600,287.790,97.9000,286.170,0.710000E-01,-1.22600,-15.6100,-19.8400,288.981,-9999,-9999,-9999,-9999,-9999,0.425000,0.372000,-9999,-9999,0.254000,-9999,-9999,-9999,-9999,-9999,294.050,293.320,-9999,-9999,292.880,0.135000,289.950,0.910000E-01,291.980,0.550000E-01,293.750,0.205000,294.280,0.292000,294.310,0.299000,294.140,0.285000,293.920,0.355000,293.610,0.410000,292.950,0.00000,290.790,0.118000,292.490,0.600000E-02,293.890,0.128000,294.310,0.249000,294.280,0.309000,294.170,0.320000,294.030,0.430000,293.690,0.467000,293.110,0.00000
2022-09-01,03:30,244.1458,-1.74300,1.68600,355.500,383.000,-1.10600,-30.9100,287.530,98.3000,286.020,0.720000E-01,-1.20200,-15.8600,-20.1900,288.805,-9999,-9999,-9999,-9999,-9999,0.428000,0.374000,-9999,0.300000,0.255000,-9999,-9999,-9999,-9999,-9999,293.920,293.150,-9999,273.350,292.850,0.130000,289.800,0.940000E-01,291.820,0.540000E-01,293.670,0.204000,294.230,0.291000,294.260,0.285000,294.140,0.282000,293.920,0.355000,293.550,0.418000,292.950,0.00000,290.590,0.119000,292.380,0.400000E-02,293.810,0.125000,294.280,0.242000,294.280,0.309000,294.170,0.310000,294.030,0.429000,293.690,0.455000,293.090,0.00000
2022-09-01,04:00,244.1666,-1.04300,1.89000,358.800,382.200,-0.724000,-26.3200,287.430,98.5000,285.760,0.720000E-01,-1.28800,-16.2100,-20.4900,288.618,-9999,-9999,-9999,-9999,-9999,0.430000,0.373000,-9999,-9999,0.254000,-9999,-9999,-9999,-9999,-9999,293.850,293.250,-9999,-9999,292.680,0.128000,289.620,0.900000E-01,291.710,0.560000E-01,293.530,0.207000,294.200,0.295000,294.260,0.293000,294.120,0.296000,293.890,0.358000,293.550,0.422000,292.920,0.00000,290.460,0.122000,292.220,0.200000E-02,293.720,0.129000,294.230,0.244000,294.260,0.307000,294.170,0.317000,294.030,0.428000,293.690,0.460000,293.090,0.00000
2022-09-01,04:30,244.1874,-1.48000,1.74900,360.100,380.600,-1.50600,-23.7300,287.080,98.6000,285.510,0.720000E-01,-1.35400,-16.6500,-20.8100,288.450,-9999,-9999,-9999,-9999,-9999,0.427000,0.374000,-9999,-9999,0.255000,-9999,-9999,-9999,-9999,-9999,293.880,293.150,-9999,-9999,292.550,0.129000,289.450,0.920000E-01,291.550,0.580000E-01,293.440,0.213000,294.120,0.289000,294.230,0.290000,294.140,0.295000,293.920,0.354000,293.580,0.417000,292.980,0.00000,290.330,0.121000,292.110,0.600000E-02,293.640,0.125000,294.200,0.241000,294.260,0.313000,294.140,0.318000,294.030,0.431000,293.690,0.469000,293.110,0.00000
