file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,air_t_mean,air_p_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--
2022-09-01T000000_Sorghum-00137.ghg,2022-09-01,00:30,244.0208,0,18000,18000,-0.185672E-01,1,0.911113E-03,8.92613,2,2.71092,5.04744,2,1.41101,-33.5868,2,12.2182,0.113762,2,0.318020E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.104635E-09,0.308402E-11,-9999,24.9049,601.843,612.743,0.00000,1,734.052,17.7388,18.0592,0.00000,1,-9999,-9999,-9999,-9999,0,293.848,289.163,99484.2,1.19055,1015.23,0.241656E-01,0.737176E-02,0.132276E-01,1765.21,1814.19,0.111105E-01,97.3000,48.9831,288.700,-0.674376E-01,-0.527797E-01,0.229869E-01,0.886675E-01,0.309853E-13,0.420136E-14,0.886675E-01,0.901314,353.534,218.048,15.0254,-9999,0.124882,0.884403E-01,-18.9879,-0.105688,1.76845,-0.591362E-01,2,5.75595,5.00000,5.00000,10.0000,20.0000,35.0000,110.000,-0.174127E-01,1.06630,8.72590,1.05553,3.55902,1.15934,-29.5784,1.15934,0.802148E-01,1.15934,-9999,-9999,800000009,800000019,800000009,800000009,800000019,801001119,811110109,811110109,89999,89999,89,81,2,1,1,1,4,2,0,0,0,0,0,0,18000,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,18000,99,0.156699E-01,0.158598,0.261240E-02,0.177618,6.00275,40.0179,-9999,0.721939E-02,-0.295784E-01,0.802148E-01,-9999,13.3700,601.864,17.7892,15.5215,97.2642,290.472,99216.2,0.332859E-01
2022-09-01T003000_Sorghum-00137.ghg,2022-09-01,01:00,244.0416,0,18000,18000,0.176291E-02,1,0.520539E-03,12.2564,1,2.15288,11.3705,1,1.49791,-30.7998,1,4.68664,0.256158,1,0.337454E-01,-9999,-9999,-9999,-0.831028,-2.79780,2.95442,-0.630299E-01,-9999,0.146629E-09,0.376700E-11,-9999,26.9494,650.265,661.585,0.400000,0,692.351,16.7058,16.9896,0.400000,0,-9999,-9999,-9999,-9999,0,292.897,288.696,99474.1,1.19282,1014.63,0.241291E-01,0.165991E-01,0.124762E-01,1662.24,1760.85,0.104594E-01,94.4000,98.6075,287.765,0.558050,-0.719205E-01,0.255876E-01,0.563247,0.101457E-13,0.544089E-14,0.563247,1.05721,185.829,352.656,2.60377,-9999,0.384440E-01,0.300561E-01,-0.403319,-4.97571,1.07791,-0.263421,2,1.18647,5.00000,5.00000,5.00000,5.00000,10.0000,25.0000,0.173218E-02,1.01774,12.6010,1.02330,9.04504,1.11691,-28.5716,1.11691,0.203770,1.11691,-9999,-9999,800000009,800000019,800000009,800000009,800000019,810000019,811110109,811110109,89999,89999,89,81,0,1,3,7,3,2,0,0,0,0,0,0,18000,0,0,0,0,0,0,16700,18000,0,0,18000,18000,18000,18000,100,0.413430E-01,0.181503E-01,0.618878E-03,0.570363,4.07384,213.891,-9999,0.104117E-01,-0.285716E-01,0.203770,-9999,13.3700,650.157,17.1121,14.9132,97.5002,289.859,99212.0,0.339693E-01
2022-09-01T010000_Sorghum-00137.ghg,2022-09-01,01:30,244.0624,0,18000,18000,-0.394145E-02,0,0.518440E-03,-5.27151,0,0.357411,0.990216E-01,2,0.895803,12.1589,0,1.21765,0.222898E-02,2,0.201646E-01,-9999,-9999,-9999,-1.51292,-1.26831,2.53732,-0.285497E-01,-9999,0.571427E-10,0.134150E-11,-9999,28.7523,691.728,703.665,0.00000,0,674.999,16.2393,16.5073,0.00000,1,-9999,-9999,-9999,-9999,0,292.151,287.850,99474.7,1.19655,1014.35,0.240582E-01,0.144438E-03,0.121635E-01,1615.83,1667.52,0.101655E-01,96.9000,51.6932,287.327,0.656935,-0.119660,0.215924E-01,0.668093,0.166120E-13,0.198741E-14,0.668093,1.59051,191.665,349.677,1.85209,-9999,0.573936E-01,0.457135E-01,3.11989,0.643227,-53.2360,0.756752E-01,2,25.6253,15.0000,25.0000,45.0000,75.0000,145.000,490.000,-0.381510E-02,1.03312,-4.94050,1.06740,0.387837,1.41779,8.88090,1.41779,0.873023E-02,1.41779,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800101119,811110109,811110109,89999,89999,89,81,1,5,0,7,8,59,0,0,0,0,0,0,18000,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,18000,94,0.579067E-01,0.278204E-01,0.569987E-02,0.259154E-01,0.342663,121.550,-9999,-0.407054E-02,0.888090E-02,0.873023E-02,-9999,13.3700,691.725,16.9645,14.7798,93.0284,288.863,99211.7,0.343741E-01
2022-09-01T013000_Sorghum-00137.ghg,2022-09-01,02:00,244.0833,0,18000,18000,0.425898E-03,2,0.563417E-03,-2.37849,1,0.147674,-3.28600,1,0.353137,8.53857,1,0.993659,-0.739740E-01,1,0.794977E-02,-9999,-9999,-9999,0.149994,0.556639,-3.80861,0.125310E-01,-9999,-0.108955E-10,-0.284627E-12,-9999,26.1592,629.477,640.397,0.300000,0,683.368,16.4441,16.7190,0.00000,1,-9999,-9999,-9999,-9999,0,292.395,287.934,99482.7,1.19620,1014.47,0.240633E-01,-0.479352E-02,0.123143E-01,1636.34,1676.58,0.102945E-01,97.6000,40.2379,287.522,0.558569,-0.135216,0.214498E-01,0.575103,-0.110335E-13,-0.416506E-15,0.575103,1.50447,193.004,346.392,2.13748,-9999,0.188691E-01,0.615768E-01,0.245741,8.16633,0.723825,0.103874,2,59.2759,30.0000,55.0000,100.000,175.000,335.000,1130.00,0.354781E-03,1.20045,-1.77536,1.38802,-0.854648,3.53985,2.47559,3.53985,-0.192397E-01,3.53985,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800000019,811110109,811110109,89999,89999,89,81,1,8,0,2,0,17,0,0,0,0,0,0,18000,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,18000,92,0.111172,0.956275E-02,0.241921E-02,0.178326E-01,0.903167,138.680,-9999,-0.146299E-02,0.247559E-02,-0.192397E-01,-9999,13.3601,629.485,17.0515,14.8597,91.9504,288.992,99215.9,0.349390E-01
2022-09-01T020000_Sorghum-00137.ghg,2022-09-01,02:30,244.1041,0,18000,18000,0.683630E-03,1,0.277089E-03,0.977796E-01,2,0.298822,0.723195,2,0.659826,-0.487366,2,0.790173,0.162780E-01,2,0.148516E-01,-9999,-9999,-9999,-0.285712,-0.549802,0.359871,-0.123752E-01,-9999,0.241719E-10,0.617918E-12,-9999,26.4183,635.356,646.056,0.00000,1,675.345,16.2419,16.5101,0.600000,0,-9999,-9999,-9999,-9999,0,292.022,287.774,99483.1,1.19696,1014.35,0.240498E-01,0.105481E-02,0.121697E-01,1616.23,1659.37,0.101672E-01,97.4000,43.1437,287.331,0.185575,0.182572E-01,0.239804E-02,0.186486,0.855996E-14,0.914966E-15,0.186486,0.641242,175.745,5.61878,0.736792,-9999,0.238985E-01,0.177200E-01,-12.1443,-0.165246,0.135205,-0.336983E-02,2,4.79220,5.00000,5.00000,10.0000,15.0000,30.0000,95.0000,0.658506E-03,1.03815,0.133042,1.03642,0.620308,1.13339,-0.445657,1.13339,0.139621E-01,1.13339,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800100119,811110109,811110109,89999,89999,89,81,0,0,2,12,16,8,0,0,0,0,0,0,18000,0,0,0,0,0,0,3,3,0,0,18000,18000,18000,18000,99,0.275837E-01,0.734502E-02,0.511183E-03,0.271046E-01,0.331261,136.392,-9999,0.109577E-03,-0.445657E-03,0.139621E-01,-9999,13.3600,635.351,16.5629,14.4105,96.1568,288.581,99221.4,0.352751E-01
2022-09-01T023000_Sorghum-00137.ghg,2022-09-01,03:00,244.1249,0,18000,18000,-0.279086E-02,1,0.384077E-03,-1.76561,1,0.215805,-5.65961,1,0.738705,6.94441,1,0.774923,-0.127339,1,0.166205E-01,-9999,-9999,-9999,-0.729835,-0.925972,2.35451,-0.208340E-01,-9999,0.121404E-09,0.286533E-11,-9999,28.0523,673.768,684.736,0.200000,0,662.081,15.9020,16.1590,0.200000,0,-9999,-9999,-9999,-9999,0,291.639,287.366,99472.7,1.19869,1014.15,0.240182E-01,-0.825155E-02,0.119307E-01,1582.24,1616.18,0.995311E-02,97.9000,33.9398,287.004,0.351504,-0.894961E-01,0.480868E-02,0.362750,0.649019E-14,0.432777E-14,0.362750,1.23421,200.309,345.715,0.759546,-9999,0.482520E-01,0.338493E-01,5.53479,0.362579,0.311967,0.301002E-01,2,21.2086,10.0000,20.0000,40.0000,65.0000,120.000,405.000,-0.271848E-02,1.02663,-1.93834,1.05218,-4.09500,1.32378,5.41783,1.32378,-0.921356E-01,1.32378,-9999,-9999,800000009,800000019,800000009,800000009,800000019,800000019,811110109,811110109,89999,89999,89,81,0,12,5,23,10,12,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,97,0.346207E-01,0.302202E-01,0.285772E-02,0.112994E-01,0.182063,63.1725,-9999,-0.159448E-02,0.541783E-02,-0.921356E-01,-9999,13.3600,673.767,16.0176,13.8933,96.2954,288.032,99212.2,0.373679E-01
2022-09-01T030000_Sorghum-00137.ghg,2022-09-01,03:30,244.1458,0,18000,18000,-0.994189E-03,2,0.348492E-03,-0.621151,1,0.111805,-3.95915,1,0.625853,2.41067,1,0.402961,-0.890673E-01,1,0.140795E-01,-9999,-9999,-9999,-0.248364,-0.211733,1.60206,-0.476327E-02,-9999,-0.206649E-10,-0.467228E-12,-9999,29.1536,699.892,711.001,0.100000,0,659.155,15.8244,16.0788,0.00000,0,-9999,-9999,-9999,-9999,0,291.516,287.227,99471.1,1.19929,1014.11,0.240070E-01,-0.577156E-02,0.118780E-01,1574.49,1601.72,0.990420E-02,98.3000,27.2292,286.928,0.243019,-0.553524E-01,0.118891E-01,0.249527,0.216614E-13,-0.708829E-15,0.249527,1.07136,195.684,347.169,2.73097,-9999,0.287921E-01,0.382885E-01,3.34242,0.600404,0.156890,0.177385E-01,2,25.0493,15.0000,25.0000,45.0000,75.0000,145.000,480.000,-0.957520E-03,1.03830,-0.742108,1.07528,-2.62911,1.46224,1.72671,1.46224,-0.591460E-01,1.46224,-9999,-9999,800000009,800000019,800000009,800000009,800100119,810100119,811110109,811110109,89999,89999,89,81,2,1,0,4,4,3,0,0,0,0,0,0,14034,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,94,0.663089E-01,0.946454E-02,0.803676E-03,0.132390E-01,0.120065,111.267,-9999,-0.610184E-03,0.172671E-02,-0.591460E-01,-9999,13.3534,699.891,15.6250,13.5104,95.1741,287.758,99206.8,4.42844
2022-09-01T033000_Sorghum-00137.ghg,2022-09-01,04:00,244.1666,0,18000,18000,-0.454481E-02,1,0.451302E-03,-1.80342,2,0.996745,-11.2143,1,2.51378,14.3764,2,5.33886,-0.252244,1,0.565427E-01,0.909762E-01,1,0.261803E-01,-0.289031,-0.364923,4.46793,-0.820824E-02,-9999,-0.960389E-10,-0.195017E-11,-0.326142E-12,32.2064,772.704,784.296,0.300000,0,653.985,15.6906,15.9407,0.00000,1,0.109371,2.57026,2.60881,0.00000,1,291.163,287.066,99476.4,1.20008,1014.03,0.239923E-01,-0.163454E-01,0.117848E-01,1561.26,1585.04,0.981998E-02,98.5000,23.7756,286.798,0.576203E-01,-0.121261,0.134967E-01,0.134932,-0.189495E-13,-0.298198E-14,0.134932,0.626247,234.977,295.416,5.74069,-9999,0.615392E-01,0.530992E-01,11.2410,0.178526,0.160814,0.240814E-01,2,16.7869,10.0000,15.0000,30.0000,50.0000,95.0000,320.000,-0.442360E-02,1.02740,-2.27226,1.04299,-8.71342,1.24959,11.7940,1.24959,-0.195992,1.24959,0.699993E-01,1.35079,800000009,800000009,800000009,800000009,800000009,800000109,811110109,811110109,89999,89999,89,81,0,0,1,6,5,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,91,0.238857E-01,0.817475E-01,0.565104E-03,0.160486,6.69559,654.326,0.162332E-03,-0.186722E-02,0.117940E-01,-0.195992,0.699993E-04,13.3500,774.189,14.7796,12.6502,91.2446,287.550,99208.5,20.0159
2022-09-01T040000_Sorghum-00137.ghg,2022-09-01,04:30,244.1874,0,18000,18000,-0.526970E-03,1,0.232227E-03,-0.828415,2,0.201888,5.94802,1,0.916094,8.35557,2,1.38107,0.133758,1,0.206010E-01,0.120782E-01,2,0.877716E-02,-0.430990,-0.624382,0.730109,-0.140410E-01,-0.108875E-02,0.281798E-10,0.555341E-12,0.936223E-13,32.7316,784.592,796.024,0.00000,1,645.042,15.4620,15.7048,0.00000,1,0.108745,2.55253,2.58972,0.00000,1,290.796,286.825,99483.4,1.20128,1013.90,0.239705E-01,0.866754E-02,0.116237E-01,1538.62,1560.47,0.967606E-02,98.6000,21.8466,286.574,0.143401,-0.625789E-01,0.100936E-01,0.156786,0.170450E-13,0.860938E-15,0.156786,0.528677,215.564,336.424,3.69115,-9999,0.209445E-01,0.211280E-01,0.964740,2.08015,-0.139276,0.324743E-01,2,37.7468,20.0000,35.0000,65.0000,110.000,215.000,720.000,-0.497259E-03,1.05975,-0.533735,1.11743,3.45055,1.71684,4.85090,1.71684,0.775956E-01,1.71684,0.608081E-02,2.00026,800000009,800000009,800000009,800000009,800000009,800000109,811110109,811110109,89999,89999,89,81,0,0,0,15,5,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,92,0.239935E-01,0.179077E-01,0.354896E-03,0.135291E-01,0.855892,188.351,0.319725E-04,-0.438217E-03,0.485090E-02,0.775956E-01,0.608081E-05,13.3599,784.591,14.3614,12.2223,90.5877,287.207,99217.6,19.9756
