file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,air_t_mean,air_p_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--
2022-11-01T000000_Sorghum-00137.ghg,2022-11-01,00:30,305.0208,0,18000,18000,0.589158E-01,0,0.258288E-02,33.5846,1,28.1108,9.85182,1,2.69205,6.57976,1,1.42472,0.220487,1,0.602489E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.990139E-10,0.233012E-11,-9999,19.9615,470.889,476.166,0.00000,0,469.760,11.0816,11.2057,0.100000,0,-9999,-9999,-9999,-9999,0,289.684,281.819,99324.3,1.22270,1011.35,0.235898E-01,0.142875E-01,0.846507E-02,1100.96,1119.36,0.692328E-02,98.3569,18.3917,281.540,1.61919,-2.20286,0.229987,2.77032,0.263292E-13,0.496024E-14,2.77032,9.72795,233.841,305.882,4.76208,-9999,0.219511,0.307754,-27.3406,-0.734001E-01,3.40898,-0.123727,2,6.68394,5.00000,10.0000,15.0000,20.0000,40.0000,130.000,0.581559E-01,1.01307,33.1880,1.02822,6.77090,1.14014,3.99265,1.14014,0.151535,1.14014,-9999,-9999,800000009,800000019,800000009,800100009,801100009,801100009,800000119,800110119,89999,89999,89,80,11,7,6,1,8,5,0,0,0,0,0,0,14807,0,0,0,0,100,0,18000,18000,0,30,18000,18000,18000,18000,89,0.275921,0.272105,0.674810E-01,2.21025,0.134817E-01,71.3144,-9999,0.268388E-01,0.399265E-02,0.151535,-9999,13.3500,470.891,11.0817,8.31942,88.7643,282.773,99089.2,5.14168
2022-11-01T003000_Sorghum-00137.ghg,2022-11-01,01:00,305.0416,0,18000,18000,0.373410E-01,0,0.237516E-02,-11.7269,2,10.4631,6.04932,0,1.54342,3.16291,0,0.986957,0.135335,0,0.345293E-01,-9999,-9999,-9999,-0.718587,-0.965947,-0.592788E-01,-0.216100E-01,-9999,0.196787E-10,0.449562E-12,-9999,19.9522,469.941,475.041,0.100000,0,455.810,10.7358,10.8523,0.100000,0,-9999,-9999,-9999,-9999,0,289.826,281.425,99339.2,1.22475,1011.15,0.235533E-01,0.876968E-02,0.821369E-02,1066.78,1089.84,0.670640E-02,97.8839,23.0619,281.075,0.901629,-2.11086,0.166296,2.30138,-0.311682E-14,0.986292E-15,2.30138,4.42618,246.965,293.129,4.14376,-9999,0.174610,0.192635,39.4111,0.509196E-01,-1.93855,0.542314E-01,2,11.0964,5.00000,10.0000,20.0000,35.0000,65.0000,215.000,0.367990E-01,1.01473,-11.0575,1.03234,5.63973,1.18267,3.18826,1.18267,0.126171,1.18267,-9999,-9999,800000009,800000019,800000009,800000009,801100009,801100009,800110109,800110109,89999,89999,89,81,6,7,7,22,2,1,0,0,0,0,0,0,6496,0,0,0,0,100,0,18000,18000,0,25,18000,18000,18000,18000,91,0.233493,0.109185,0.425923E-01,3.28175,0.139541E-01,17.3498,-9999,-0.892880E-02,0.318826E-02,0.126171,-9999,13.3467,469.940,10.7359,7.85716,89.5704,282.415,99099.4,12.5947
2022-11-01T010000_Sorghum-00137.ghg,2022-11-01,01:30,305.0624,0,18000,18000,0.115738,1,0.123584E-01,-324.191,1,58.5390,-36.1788,1,4.54754,-28.0343,1,4.03614,-0.808940,1,0.101681,-9999,-9999,-9999,-1.05901,-0.676669,0.682196,-0.151300E-01,-9999,0.790227E-10,0.172470E-11,-9999,20.4600,480.830,485.930,0.00000,1,446.547,10.4943,10.6056,0.00000,1,-9999,-9999,-9999,-9999,0,288.422,280.846,99355.3,1.22759,1011.00,0.235010E-01,-0.524193E-01,0.804678E-02,1042.95,1047.68,0.655493E-02,99.5484,4.73110,280.744,1.17977,-1.54093,0.237532,2.05574,0.850094E-13,0.386231E-14,2.05574,9.32821,233.705,305.174,6.63510,-9999,0.307051,0.289097,7.75276,0.258850,8.96078,0.850713,2,18.9765,10.0000,20.0000,35.0000,55.0000,110.000,365.000,0.112924,1.02492,-309.806,1.05265,-13.2624,1.29870,-6.63398,1.29870,-0.296541,1.29870,-9999,-9999,800000009,800000019,800000009,800100009,801100019,801100019,800110109,811110109,89999,89999,89,81,11,2,0,1,5,1,0,0,0,0,0,0,10904,0,0,0,0,100,0,18000,18000,0,20,18000,18000,18000,18000,87,0.282782,0.233890,0.615236E-01,4.67428,0.358695E-01,23.7755,-9999,-0.249622,-0.663398E-02,-0.296541,-9999,13.3400,480.828,10.4944,7.52569,86.6574,281.825,99124.8,10.9459
2022-11-01T013000_Sorghum-00137.ghg,2022-11-01,02:00,305.0833,0,18000,18000,0.705273E-01,0,0.996152E-02,-141.402,0,36.2020,10.2149,2,7.11383,5.21749,1,3.63837,0.228333,2,0.159015,-9999,-9999,-9999,-0.555784,-1.41938,-0.339106,-0.317274E-01,-9999,0.132757E-09,0.278917E-11,-9999,20.2551,475.424,480.221,0.00000,0,425.553,9.98848,10.0893,0.100000,0,-9999,-9999,-9999,-9999,0,288.109,280.542,99371.4,1.22936,1010.72,0.234718E-01,0.147960E-01,0.766846E-02,992.835,1026.16,0.623778E-02,96.7529,33.3201,280.025,1.84351,-1.93451,0.311712,2.81176,0.193223E-13,0.655422E-14,2.81176,9.14828,227.650,311.219,6.36490,-9999,0.239519,0.347732,8.43721,0.237851,-13.8427,0.475125,2,18.4540,10.0000,20.0000,35.0000,55.0000,105.000,355.000,0.686115E-01,1.02792,-133.104,1.05926,13.5505,1.31622,10.1240,1.31622,0.302895,1.31622,-9999,-9999,800000009,800000019,800000009,800100009,801100009,801101109,800010109,800110109,89999,89999,89,81,6,0,2,9,1,0,0,0,0,0,0,0,2687,0,0,0,0,100,0,18000,18000,0,20,18000,18000,18000,18000,87,0.373563,0.233707,0.881946E-01,2.96891,0.466296E-01,116.768,-9999,-0.107124,0.101240E-01,0.302895,-9999,13.3534,475.426,9.98860,6.80395,87.4050,281.462,99147.4,13.7359
2022-11-01T020000_Sorghum-00137.ghg,2022-11-01,02:30,305.1041,0,18000,18000,0.121984,1,0.810994E-02,-273.123,0,46.9355,-14.0999,2,1.73768,-10.3111,0,3.54836,-0.315243,2,0.388508E-01,-9999,-9999,-9999,0.412439,0.371653,-0.285290,0.830935E-02,-9999,0.117965E-09,0.253557E-11,-9999,20.0457,470.872,475.687,0.00000,0,430.867,10.1211,10.2245,0.00000,1,-9999,-9999,-9999,-9999,0,288.285,280.767,99374.3,1.22834,1010.79,0.234900E-01,-0.204278E-01,0.776423E-02,1006.04,1042.10,0.632090E-02,96.5400,36.0571,280.217,1.81031,-2.01477,0.327774,2.81733,-0.126495E-13,0.588480E-14,2.81733,9.60351,228.698,310.329,6.68104,-9999,0.315131,0.355036,9.94882,0.201712,19.3706,0.698047,2,17.4772,10.0000,20.0000,30.0000,55.0000,100.000,335.000,0.118905,1.02590,-259.599,1.05528,0.881289,1.29547,4.27863,1.29547,0.197037E-01,1.29547,-9999,-9999,800000009,800000019,800000009,800100009,801100009,801110009,800010109,800110109,89999,89999,89,81,7,7,2,1,11,4,0,0,0,0,0,0,5301,0,0,0,0,100,0,5,5,0,30,18000,18000,18000,18000,88,0.345058,0.259318,0.105696,3.29288,0.365194E-01,63.2748,-9999,-0.209084,0.427863E-02,0.197037E-01,-9999,13.3600,470.873,10.1211,6.99828,87.7755,281.612,99153.4,12.0710
2022-11-01T023000_Sorghum-00137.ghg,2022-11-01,03:00,305.1249,0,18000,18000,0.232993E-01,0,0.169579E-02,-5.42949,2,6.45321,-0.341704,2,1.65453,0.815633,1,0.814467,-0.763924E-02,2,0.369891E-01,-9999,-9999,-9999,-0.131793,-0.407252,-0.179414,-0.910464E-02,-9999,0.971877E-10,0.207160E-11,-9999,19.9338,468.011,472.727,0.00000,0,424.898,9.97587,10.0764,0.00000,1,-9999,-9999,-9999,-9999,0,288.381,280.695,99398.3,1.22902,1010.71,0.234783E-01,-0.495022E-03,0.765666E-02,991.850,1036.98,0.622987E-02,95.6476,45.1339,280.010,1.70313,-1.95433,0.244014,2.65344,0.219273E-13,0.487553E-14,2.65344,9.18481,229.518,310.114,5.27646,-9999,0.137686,0.237340,41.7478,0.480696E-01,15.8894,0.317454E-01,2,10.8875,5.00000,10.0000,20.0000,35.0000,65.0000,210.000,0.229397E-01,1.01567,-5.26609,1.03474,-0.355663E-01,1.19053,0.948831,1.19053,-0.795129E-03,1.19053,-9999,-9999,800000009,800000019,800000009,800100009,801100019,801100119,800000109,800110109,89999,89999,89,80,3,7,4,0,2,13,0,0,0,0,0,0,9623,0,0,0,0,100,0,0,0,0,30,18000,18000,18000,18000,89,0.268219,0.155181,0.512792E-01,2.45067,0.306433E-01,53.3275,-9999,-0.423937E-02,0.948831E-03,-0.795129E-03,-9999,13.3700,468.012,9.97589,6.79110,88.5880,281.488,99175.7,10.5582
2022-11-01T030000_Sorghum-00137.ghg,2022-11-01,03:30,305.1458,0,18000,18000,0.124310,1,0.107641E-01,-4.56060,2,9.02390,12.4006,1,4.42702,9.39874,1,4.09967,0.277190,1,0.989569E-01,-9999,-9999,-9999,-0.287278,-0.626477E-01,0.512381E-02,-0.140036E-02,-9999,0.466657E-10,0.992302E-12,-9999,19.9565,468.092,472.799,0.100000,0,424.357,9.95356,10.0536,0.00000,0,-9999,-9999,-9999,-9999,0,288.106,280.538,99438.7,1.23022,1010.70,0.234556E-01,0.179619E-01,0.764691E-02,990.034,1025.92,0.621589E-02,96.5021,35.8851,279.984,1.10548,-2.04547,0.152079,2.33005,0.388833E-13,0.233837E-14,2.33005,5.26531,241.445,298.389,3.74228,-9999,0.317879,0.336804,611.797,0.328017E-02,-0.367771,0.115387E-01,2,9.87912,5.00000,10.0000,20.0000,30.0000,60.0000,190.000,0.122833,1.01202,-3.80318,1.02673,10.8785,1.15139,8.27683,1.15139,0.243166,1.15139,-9999,-9999,800000009,800000019,800000009,800000009,801100009,801100109,800010119,800110119,89999,89999,89,81,11,19,4,2,2,5,0,0,0,0,0,0,11038,0,0,0,0,100,0,0,0,0,20,18000,18000,18000,18000,88,0.362887,0.224549,0.861726E-01,2.76659,0.492854E-01,31.9807,-9999,-0.305874E-02,0.827683E-02,0.243166,-9999,13.3667,468.091,9.95354,6.76560,87.8718,281.326,99207.6,8.10618
2022-11-01T033000_Sorghum-00137.ghg,2022-11-01,04:00,305.1666,0,18000,18000,0.569546E-01,0,0.361991E-02,-73.7319,0,12.9606,-9.03552,2,4.81938,-3.77336,2,0.360540,-0.201915,2,0.107698,-9999,-9999,-9999,-0.525509,-0.194173,0.393690,-0.433914E-02,-9999,-0.756464E-10,-0.157630E-11,-9999,20.2515,474.356,479.092,0.100000,0,421.996,9.88452,9.98320,0.00000,1,-9999,-9999,-9999,-9999,0,287.764,280.252,99474.4,1.23195,1010.65,0.234232E-01,-0.130841E-01,0.760437E-02,983.521,1005.97,0.617261E-02,97.7679,22.4541,279.887,1.25961,-1.74129,0.211764,2.39706,-0.510428E-16,-0.373534E-14,2.39706,7.97763,237.341,301.673,5.06832,-9999,0.215014,0.205872,11.7137,0.171321,8.16022,0.275417,2,16.5603,10.0000,15.0000,30.0000,50.0000,95.0000,315.000,0.557251E-01,1.02206,-70.8603,1.04729,-3.92706,1.26199,0.476780,1.26199,-0.877573E-01,1.26199,-9999,-9999,800000009,800000019,800000009,800100009,801100009,801100009,801010109,801110109,89999,89999,89,81,9,0,2,1,4,3,0,0,0,0,0,0,9193,0,0,0,0,100,0,0,0,0,25,18000,18000,18000,18000,87,0.237783,0.120573,0.533879E-01,3.26909,0.109819E-01,102.382,-9999,-0.569123E-01,0.476780E-03,-0.877573E-01,-9999,13.3600,474.358,9.88468,6.66692,86.1439,281.045,99238.4,11.1930
2022-11-01T040000_Sorghum-00137.ghg,2022-11-01,04:30,305.1874,0,18000,18000,0.124893,1,0.134405E-01,-347.139,1,57.3071,7.19972,2,7.86138,-5.95181,2,5.77693,0.160816,2,0.175595,-9999,-9999,-9999,-0.891212,-0.555173,0.410093,-0.124006E-01,-9999,0.261919E-09,0.527668E-11,-9999,20.5741,480.867,485.571,0.100000,0,414.490,9.68765,9.78242,0.100000,0,-9999,-9999,-9999,-9999,0,287.218,279.767,99517.9,1.23472,1010.54,0.233725E-01,0.104209E-01,0.746911E-02,964.354,973.001,0.604922E-02,99.1113,8.64719,279.601,0.877118,-1.63100,0.221281,1.97634,-0.639786E-14,0.127305E-13,1.97634,7.92566,242.522,296.401,6.42861,-9999,0.318042,0.252064,8.05409,0.249165,-48.2155,0.874775,2,18.7392,10.0000,20.0000,35.0000,55.0000,110.000,360.000,0.121970,1.02397,-330.235,1.05067,19.8380,1.28963,11.1899,1.28963,0.443110,1.28963,-9999,-9999,800000009,800000019,800000009,800100009,801100009,801110119,800110119,811110119,89999,89999,89,80,13,4,1,0,0,16,0,0,0,0,0,0,17050,0,0,0,0,100,0,0,0,0,25,18000,18000,18000,18000,86,0.363572,0.846615E-01,0.558951E-01,4.35746,0.988487E-01,84.6825,-9999,-0.264668,0.111899E-01,0.443110,-9999,13.3533,480.863,9.68756,6.38152,85.0022,280.562,99278.0,3.59117
