file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,air_t_mean,air_p_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--
2022-12-01T000000_Sorghum-00137.ghg,2022-12-01,00:30,335.0208,0,18000,18000,-0.435139E-01,0,0.392259E-02,-19.1461,0,1.24011,10.6112,0,0.477436,1.11226,0,0.126956,0.234195,0,0.105372E-01,0.528520E-03,0,0.390187E-03,-9999,-9999,-9999,-9999,-9999,-0.334435E-10,-0.224079E-12,-0.169648E-12,18.9856,418.802,419.932,0.100000,0,127.207,2.80606,2.81396,0.100000,0,0.963078E-01,2.05806,2.06361,0.00000,0,270.757,267.133,100682.,1.31166,1006.59,0.220590E-01,0.151758E-01,0.229228E-02,282.596,389.250,0.174761E-02,72.6000,106.655,262.982,-2.14692,-2.83575,0.283230,3.56805,-0.365591E-13,-0.176152E-14,3.56805,5.91578,306.858,232.871,4.55290,-9999,0.182139,0.324099,27.6205,0.726561E-01,-1.80433,0.796167E-01,2,12.4775,10.0000,15.0000,25.0000,40.0000,70.0000,240.000,-0.426407E-01,1.02048,-17.8414,1.04542,8.84044,1.23233,1.65929,1.23233,0.195113,1.23233,0.469126E-02,1.29009,800000009,800000009,800000009,800000009,800000009,800000009,800000119,800000119,89999,89999,89,80,14,7,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,93,0.378362,0.203234,0.666012E-01,0.373617E-01,0.635200E-03,5.12968,0.102655E-07,-0.135131E-01,0.165929E-02,0.195113,0.469126E-05,13.3500,418.802,2.68920,-10.7644,96.2287,268.049,100436.,38.7717
2022-12-01T003000_Sorghum-00137.ghg,2022-12-01,01:00,335.0416,0,18000,18000,-0.328412E-01,0,0.324520E-02,-14.0186,0,1.04650,8.30163,0,0.361394,0.646135,0,0.731045E-01,0.183164,0,0.797366E-02,-0.549957E-03,0,0.346006E-03,-0.638897,-0.935388E-01,0.595811E-01,-0.206381E-02,0.223033E-03,0.849864E-10,0.561962E-12,0.430979E-12,19.0502,419.694,420.828,0.100000,0,125.967,2.77518,2.78290,0.100000,0,0.966066E-01,2.06140,2.06697,0.00000,0,270.285,266.804,100686.,1.31335,1006.57,0.220309E-01,0.118690E-01,0.226993E-02,279.497,379.597,0.172836E-02,73.6300,100.100,262.842,-1.63920,-2.61602,0.222354,3.09515,-0.397857E-13,0.446117E-14,3.09515,5.56859,302.030,237.929,4.11964,-9999,0.158132,0.303641,24.6871,0.812896E-01,-1.68866,0.670597E-01,2,12.9485,10.0000,15.0000,25.0000,40.0000,75.0000,250.000,-0.322209E-01,1.01925,-13.0760,1.04245,6.94733,1.22429,1.08342,1.22429,0.153283,1.22429,0.267341E-02,1.28469,800000009,800000009,800000009,800000009,800000009,800000009,800000119,800010119,89999,89999,89,80,7,12,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,93,0.334958,0.222822,0.495028E-01,0.406681E-01,0.428044E-03,3.86674,0.125375E-07,-0.989125E-02,0.108342E-02,0.153283,0.267341E-05,13.3533,419.694,2.69537,-10.7344,96.2280,267.683,100446.,38.7377
2022-12-01T010000_Sorghum-00137.ghg,2022-12-01,01:30,335.0624,0,18000,18000,-0.395551E-01,0,0.401322E-02,-13.0479,0,1.26709,6.74555,0,0.428824,0.832602,0,0.141415,0.148816,0,0.946048E-02,0.121779E-03,0,0.643254E-03,-0.206753,0.148824,0.562635E-01,0.328327E-02,0.393055E-03,0.263189E-10,0.176755E-12,0.133542E-12,19.1024,420.535,421.681,0.100000,0,128.290,2.82427,2.83227,0.100000,0,0.969251E-01,2.06728,2.07291,-0.200000,0,270.144,266.698,100720.,1.31428,1006.60,0.220148E-01,0.964331E-02,0.231178E-02,284.537,376.521,0.175897E-02,75.5700,91.9842,263.068,-1.17093,-2.68596,0.210312,2.93763,0.837904E-14,0.137778E-14,2.93763,5.09064,293.984,246.446,4.10545,-9999,0.173483,0.308340,35.0308,0.572867E-01,-1.93430,0.568512E-01,2,11.5363,10.0000,15.0000,20.0000,35.0000,65.0000,220.000,-0.388904E-01,1.01709,-12.2638,1.03795,5.76838,1.20338,1.22691,1.20338,0.127259,1.20338,0.311652E-02,1.26014,800000009,800000009,800000009,800000009,800000009,800000009,800000119,800010119,89999,89999,89,80,31,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,16,18000,18000,18000,18000,93,0.357799,0.207773,0.511081E-01,0.476859E-01,0.954681E-03,4.72622,0.254326E-07,-0.927003E-02,0.122691E-02,0.127259,0.311652E-05,13.3600,420.535,2.71763,-10.6270,96.2232,267.539,100483.,38.6077
2022-12-01T013000_Sorghum-00137.ghg,2022-12-01,02:00,335.0833,0,18000,18000,-0.273828E-01,0,0.298947E-02,-11.5942,0,1.07610,6.54017,0,0.307679,0.643479,0,0.815523E-01,0.144233,0,0.678536E-02,-0.408641E-04,0,0.404754E-03,-0.757616,-0.217485,0.162227E-01,-0.479627E-02,-0.696627E-03,0.368734E-10,0.241220E-12,0.186089E-12,19.1428,420.778,421.921,0.100000,0,125.229,2.75266,2.76026,0.100000,0,0.966079E-01,2.05688,2.06247,-0.100000,0,269.647,266.310,100728.,1.31634,1006.55,0.219810E-01,0.934629E-02,0.225664E-02,277.345,365.457,0.171432E-02,75.8900,88.1116,262.745,-1.64542,-2.59597,0.227661,3.08193,-0.150769E-13,0.192623E-14,3.08193,5.55968,302.077,237.632,4.23627,-9999,0.144230,0.255758,22.6547,0.885819E-01,-1.77277,0.606712E-01,2,13.3209,10.0000,15.0000,25.0000,40.0000,75.0000,255.000,-0.268537E-01,1.01970,-10.8219,1.04333,5.45883,1.22897,0.986014,1.22897,0.120385,1.22897,0.254278E-02,1.29066,800000009,800000009,800000009,800000009,800000009,800000009,800000119,800010119,89999,89999,89,80,19,15,1,10,15,3,0,0,0,0,0,0,0,0,0,0,0,101,0,18000,0,0,21,18000,18000,18000,18000,93,0.290861,0.168993,0.516618E-01,0.489667E-01,0.506727E-03,3.16664,0.181486E-07,-0.816768E-02,0.986014E-03,0.120385,0.254278E-05,13.3600,420.778,2.70910,-10.6651,96.2173,267.169,100492.,38.8276
2022-12-01T020000_Sorghum-00137.ghg,2022-12-01,02:30,335.1041,0,18000,18000,-0.272264E-01,1,0.353118E-02,-13.3258,0,0.842850,7.33524,0,0.330734,0.716897,0,0.866828E-01,0.161740,0,0.729259E-02,0.143040E-03,0,0.320625E-03,-0.340132,-0.888075E-03,-0.222818E-01,-0.195818E-04,-0.223004E-03,0.523698E-10,0.342830E-12,0.264061E-12,19.1436,420.445,421.576,0.00000,0,125.320,2.75237,2.75997,0.00000,0,0.965265E-01,2.05355,2.05908,-0.200000,0,269.501,266.136,100746.,1.31744,1006.55,0.219627E-01,0.104808E-01,0.225827E-02,277.364,360.588,0.171414E-02,76.9200,83.2237,262.746,-1.84917,-2.80225,0.241569,3.36607,-0.130432E-13,0.273563E-14,3.36607,5.70568,303.094,236.580,4.11542,-9999,0.143757,0.290346,19.5204,0.102805,-1.81669,0.699035E-01,2,13.9918,10.0000,15.0000,25.0000,45.0000,80.0000,270.000,-0.266441E-01,1.02186,-12.3957,1.04790,6.03474,1.24772,1.09939,1.24772,0.133064,1.24772,0.303114E-02,1.31097,800000009,800000009,800000009,800000009,800000009,800000009,800000109,800000119,89999,89999,89,80,4,11,2,13,13,1,0,0,0,0,0,0,0,0,0,0,0,101,0,5,0,0,16,18000,18000,18000,18000,93,0.345893,0.173872,0.609277E-01,0.263511E-01,0.457712E-03,2.97600,0.123205E-07,-0.934777E-02,0.109939E-02,0.133064,0.303114E-05,13.3600,420.445,2.68321,-10.7835,96.2135,266.888,100509.,38.5344
2022-12-01T023000_Sorghum-00137.ghg,2022-12-01,03:00,335.1249,0,18000,18000,-0.193624E-01,1,0.373131E-02,-9.91864,0,0.989062,5.17882,0,0.254208,0.630171,0,0.964628E-01,0.114168,0,0.560405E-02,0.138527E-03,0,0.307505E-03,-0.431061,-0.198427,0.199051E-01,-0.437436E-02,0.247242E-04,0.529034E-10,0.337880E-12,0.266647E-12,19.1739,420.742,421.867,0.100000,0,122.459,2.68717,2.69441,0.100000,0,0.966415E-01,2.05392,2.05941,-0.200000,0,269.212,265.915,100751.,1.31862,1006.51,0.219435E-01,0.739809E-02,0.220671E-02,270.807,354.506,0.167349E-02,76.3900,83.6988,262.445,-1.37795,-2.16413,0.190641,2.57265,0.777342E-13,0.275913E-14,2.57265,4.89384,302.016,237.514,4.24967,-9999,0.121177,0.307012,15.7075,0.127761,-1.91523,0.616727E-01,2,15.0321,10.0000,15.0000,25.0000,45.0000,85.0000,290.000,-0.189809E-01,1.02010,-9.27679,1.04355,4.29572,1.23868,0.904989,1.23868,0.946999E-01,1.23868,0.230117E-02,1.30848,800000009,800000009,800000009,800000009,800000009,800000009,800010119,800010119,89999,89999,89,81,11,22,2,14,13,4,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,16,18000,18000,18000,18000,93,0.462216,0.108233,0.435754E-01,0.436645E-01,0.688676E-03,2.17476,0.117481E-07,-0.698967E-02,0.904989E-03,0.946999E-01,0.230117E-05,13.3700,420.743,2.66635,-10.8618,96.2159,266.513,100518.,37.6859
2022-12-01T030000_Sorghum-00137.ghg,2022-12-01,03:30,335.1458,0,18000,18000,-0.194004E-01,0,0.231698E-02,-8.35280,0,0.867559,4.47429,0,0.276576,0.682330,0,0.876916E-01,0.986377E-01,0,0.609724E-02,0.153040E-02,0,0.442684E-03,0.248595E-01,0.200594,0.301651E-02,0.442219E-02,-0.222996E-04,-0.102644E-09,-0.671566E-12,-0.517035E-12,19.1808,420.787,421.899,0.100000,0,125.494,2.75307,2.76067,0.100000,0,0.966169E-01,2.05359,2.05902,-0.100000,0,269.228,265.928,100781.,1.31893,1006.55,0.219379E-01,0.639172E-02,0.226140E-02,277.531,354.854,0.171457E-02,78.2100,77.3227,262.753,-0.967003,-2.10022,0.176956,2.31891,0.974570E-14,-0.535139E-14,2.31891,4.09699,295.076,245.277,4.37650,-9999,0.121282,0.174870,18.7048,0.107288,-1.86684,0.518778E-01,2,14.1903,10.0000,15.0000,25.0000,45.0000,80.0000,270.000,-0.190583E-01,1.01795,-7.83946,1.03894,3.77279,1.21837,0.898440,1.21837,0.831727E-01,1.21837,0.309981E-02,1.28562,800000009,800000009,800000009,800000009,800000009,800000009,800010119,800010119,89999,89999,89,80,19,8,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,16,18000,18000,18000,18000,93,0.197046,0.115379,0.373151E-01,0.308472E-01,0.501344E-03,2.29258,0.142883E-07,-0.590515E-02,0.898440E-03,0.831727E-01,0.309981E-05,13.3667,420.787,2.63644,-10.9997,96.2168,266.452,100550.,38.3765
2022-12-01T033000_Sorghum-00137.ghg,2022-12-01,04:00,335.1666,0,18000,18000,-0.149170E-01,1,0.168698E-02,-3.57058,1,0.537314,2.47210,0,0.181895,-0.226762,2,0.103443,0.544913E-01,0,0.400942E-02,-0.978821E-03,2,0.546207E-03,-0.275227,0.779336E-01,0.119216,0.171785E-02,0.902132E-03,-0.621327E-10,-0.408567E-12,-0.313639E-12,19.2770,422.562,423.700,0.00000,1,126.760,2.77865,2.78639,0.100000,0,0.973082E-01,2.06702,2.07259,0.00000,1,269.001,265.787,100808.,1.31996,1006.56,0.219205E-01,0.353104E-02,0.228422E-02,280.184,351.019,0.173052E-02,79.8200,70.8357,262.873,-0.526829,-2.24953,0.142650,2.31480,-0.892818E-14,-0.322315E-14,2.31480,4.14013,282.594,256.819,3.53310,-9999,0.106307,0.162047,29.4732,0.680890E-01,-1.44435,0.252800E-01,2,12.2131,10.0000,15.0000,25.0000,40.0000,70.0000,235.000,-0.146862E-01,1.01571,-3.33887,1.03439,2.11399,1.19366,-0.459742E-01,1.19366,0.465976E-01,1.19366,-0.112933E-04,1.25403,800000009,800000009,800000009,800000009,800000009,800001009,800010119,800010119,89999,89999,89,80,19,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,16,18000,18000,18000,18000,93,0.214620,0.851981E-01,0.242751E-01,0.381594E-01,0.345913E-02,3.05407,0.387011E-07,-0.251304E-02,-0.459742E-04,0.465976E-01,-0.112933E-07,13.3600,422.561,2.68529,-10.7661,96.2059,266.295,100579.,37.3805
2022-12-01T040000_Sorghum-00137.ghg,2022-12-01,04:30,335.1874,0,18000,18000,-0.170758E-01,1,0.199213E-02,-7.67977,0,1.29145,1.60158,1,0.200893,0.422820,0,0.101673,0.352921E-01,1,0.442685E-02,0.179838E-02,0,0.886740E-03,-0.628173,-0.138096,0.858897E-01,-0.304306E-02,-0.172242E-03,-0.101230E-09,-0.652848E-12,-0.508908E-12,19.3603,423.839,424.967,0.100000,0,124.857,2.73339,2.74089,0.100000,0,0.973286E-01,2.06446,2.06995,-0.100000,0,268.484,265.466,100816.,1.32169,1006.53,0.218922E-01,0.228693E-02,0.224993E-02,275.645,342.416,0.170231E-02,80.5000,66.7711,262.668,-0.803541,-1.76583,0.139782,1.94509,0.478363E-13,-0.522876E-14,1.94509,3.77775,295.749,245.532,4.12104,-9999,0.113665,0.197912,16.7507,0.119804,-4.79513,0.507883E-01,2,14.7165,10.0000,15.0000,25.0000,45.0000,85.0000,280.000,-0.167838E-01,1.01740,-7.33211,1.03736,1.41461,1.21618,0.681536,1.21618,0.311721E-01,1.21618,0.330355E-02,1.28726,800000009,800000009,800000009,800000009,800000009,800101009,810100119,810110119,89999,89999,89,81,20,6,2,3,11,2,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,93,0.241715,0.134528,0.195819E-01,0.121351,0.205741E-02,4.54246,0.710776E-07,-0.551151E-02,0.681536E-03,0.311721E-01,0.330355E-05,13.3600,423.839,2.65459,-10.9101,96.2029,265.970,100596.,37.5204
