date,time,co2_irga_northward_separation,co2_irga_eastward_separation,ch4_irga_northward_separation,ch4_irga_eastward_separation,canopy_height,master_sonic_height
2022-01-01,00:00,-6,20,0,0,0.1,2.65
2022-06-06,00:00,-6,20,0,0,0.11,2.65
2022-06-13,00:00,-6,20,0,0,0.17,2.65
2022-06-16,00:00,-6,20,0,0,0.19,2.65
2022-06-22,00:00,-6,20,0,0,0.21,2.65
2022-06-28,00:00,-6,20,0,0,0.34,2.65
2022-07-01,00:00,-6,20,0,0,0.41,2.65
2022-07-11,00:00,-6,20,0,0,0.41,2.65
2022-07-14,00:00,-6,20,0,0,0.47,2.65
2022-07-18,00:00,-6,20,0,0,0.6,2.65
2022-07-27,00:00,-6,20,0,0,0.85,2.65
2022-08-11,00:00,-6,20,-6,-25,0.93,2.65
2022-08-30,00:00,-6,20,-6,-25,0.96,2.65
2022-10-04,12:00,-6,20,-6,-25,0.10,2.65
2022-12-31,00:00,-6,20,-6,-25,0.10,2.65
